Chrom	Start	End	Module	Gene
chr11	2025445	2026147	Module_5592	MRPL23
chr19	2061137	2061845	Module_17467	BTBD2
chr19	2061137	2061845	Module_17467	MKNK2
chr19	2061137	2061845	Module_17467	AP3D1
chr17	2295854	2297522	Module_14481	TSR1
chr17	2295854	2297522	Module_14481	SGSM2
chr1	2363510	2364307	Module_141	PEX10
chr1	2477409	2478995	Module_151	FAM213B
chr1	2574009	2575066	Module_157	FAM213B
chr1	2477409	2478995	Module_151	PANK4
chr1	2477409	2478995	Module_151	HES5
chr7	2535390	2536023	Module_33421	LFNG
chr7	2538309	2538828	Module_33423	LFNG
chr7	2539250	2540115	Module_33424	LFNG
chr7	2563505	2564931	Module_33431	LFNG
chr7	2539250	2540115	Module_33424	CHST12
chr7	2539250	2540115	Module_33424	IQCE
chr7	2563505	2564931	Module_33431	IQCE
chr7	2539250	2540115	Module_33424	BRAT1
chr7	2563505	2564931	Module_33431	BRAT1
chr17	2627470	2628431	Module_14492	RAP1GAP2
chr17	2658469	2659808	Module_14494	RAP1GAP2
chr17	2679340	2680805	Module_14495	RAP1GAP2
chr17	2627470	2628431	Module_14492	CLUH
chr17	2658469	2659808	Module_14494	CLUH
chr17	2679340	2680805	Module_14495	CLUH
chr7	2685816	2686965	Module_33445	TTYH3
chr5	2750160	2750824	Module_29246	IRX2
chr5	2750160	2750824	Module_29246	C5orf38
chr4	2780038	2780601	Module_27560	TNIP2
chr4	2780038	2780601	Module_27560	SH3BP2
chr7	2860836	2861489	Module_33451	GNA12
chr6	2988749	2989608	Module_31239	SERPINB9
chr6	2866117	2866851	Module_31218	SERPINB1
chr6	2988749	2989608	Module_31239	SERPINB1
chr11	2883307	2884609	Module_5612	CDKN1C
chr11	2888930	2889515	Module_5613	CDKN1C
chr11	2883307	2884609	Module_5612	SLC22A18
chr6	2988749	2989608	Module_31239	BPHL
chr6	2988749	2989608	Module_31239	SERPINB6
chr6	2988749	2989608	Module_31239	NQO2
chr6	2988749	2989608	Module_31239	RIPK1
chr6	2988749	2989608	Module_31239	WRNIP1
chr6	2988749	2989608	Module_31239	LINC01011
chr18	3012528	3013481	Module_16534	EMILIN2
chr18	3012528	3013481	Module_16534	LPIN2
chr18	3447846	3448598	Module_16539	DLGAP1
chr16	3071106	3071943	Module_13027	TNFRSF12A
chr16	3071106	3071943	Module_13027	IL32
chr16	3071106	3071943	Module_13027	THOC6
chr16	3071106	3071943	Module_13027	HCFC1R1
chr16	3071106	3071943	Module_13027	PKMYT1
chr16	3071106	3071943	Module_13027	MMP25
chr16	3071106	3071943	Module_13027	CLDN6
chr12	3213993	3214532	Module_7675	TSPAN9
chr4	3293322	3295120	Module_27584	RGS12
chr6	3423479	3424266	Module_31270	SLC22A23
chr18	3447846	3448598	Module_16539	TGIF1
chr1	3591143	3591702	Module_179	TP73
chr1	3591740	3592286	Module_180	TP73
chr1	3591143	3591702	Module_179	WRAP73
chr1	3591740	3592286	Module_180	WRAP73
chr1	3591143	3591702	Module_179	MEGF6
chr1	3591143	3591702	Module_179	TP73-AS1
chr1	3591740	3592286	Module_180	TP73-AS1
chrX	3732721	3734726	Module_38964	PRKX
chrX	3732721	3734726	Module_38964	LOC389906
chr6	4018562	4019200	Module_31290	FAM50B
chr6	4018562	4019200	Module_31290	PRPF4B
chr6	4018562	4019200	Module_31290	ECI2
chr16	4233404	4234201	Module_13064	ADCY9
chr17	4268501	4269403	Module_14543	ANKFY1
chr17	4268501	4269403	Module_14543	UBE2G1
chr16	4321083	4322485	Module_13070	TFAP4
chr19	4326715	4329044	Module_17605	FSD1
chr19	4326715	4329044	Module_17605	STAP2
chr19	4326715	4329044	Module_17605	MPND
chr12	4380223	4381694	Module_7688	CCND2
chr19	4390194	4391246	Module_17611	SH3GL1
chr19	4390194	4391246	Module_17611	CHAF1A
chr19	4575118	4576155	Module_17622	SEMA6B
chr19	4584099	4585187	Module_17625	SEMA6B
chr19	4584099	4585187	Module_17625	TNFAIP8L1
chr7	4690107	4690796	Module_33472	FOXK1
chr3	5254513	5255721	Module_25083	ARL8B
chr5	5183242	5183817	Module_29267	ADAMTS16
chr3	5254513	5255721	Module_25083	EDEM1
chr19	5292897	5293686	Module_17649	PTPRS
chr7	5446857	5447604	Module_33488	TNRC18
chr12	5538865	5539466	Module_7703	NTF3
chr12	5589250	5590437	Module_7707	NTF3
chr7	5571063	5571984	Module_33503	FBXL18
chr7	5595569	5596668	Module_33506	FBXL18
chr7	5601618	5603488	Module_33507	FBXL18
chr7	5608899	5610146	Module_33508	FBXL18
chr7	5633860	5634537	Module_33512	FBXL18
chr7	5571063	5571984	Module_33503	ACTB
chr7	5595569	5596668	Module_33506	ACTB
chr7	5601618	5603488	Module_33507	ACTB
chr7	5608899	5610146	Module_33508	ACTB
chr7	5595569	5596668	Module_33506	FSCN1
chr7	5601618	5603488	Module_33507	FSCN1
chr7	5608899	5610146	Module_33508	FSCN1
chr7	5633860	5634537	Module_33512	FSCN1
chr7	5595569	5596668	Module_33506	CCZ1
chr7	5608899	5610146	Module_33508	CCZ1
chr7	5595569	5596668	Module_33506	RNF216
chr7	5608899	5610146	Module_33508	RNF216
chr7	5633860	5634537	Module_33512	RNF216
chr2	5836140	5838017	Module_19481	SOX11
chr17	6042198	6042773	Module_14591	WSCD1
chrX	6197271	6197992	Module_38971	NLGN4X
chr1	6301879	6302713	Module_216	HES3
chr1	6305096	6306373	Module_217	HES3
chr1	6301879	6302713	Module_216	RPL22
chr1	6305096	6306373	Module_217	RPL22
chr1	6301879	6302713	Module_216	ICMT
chr1	6305096	6306373	Module_217	ICMT
chr1	6301879	6302713	Module_216	GPR153
chr1	6305096	6306373	Module_217	GPR153
chr1	6301879	6302713	Module_216	LINC00337
chr1	6305096	6306373	Module_217	LINC00337
chr12	6324060	6324768	Module_7720	CD9
chr1	6507006	6508482	Module_237	PLEKHG5
chr1	6549715	6551070	Module_246	PLEKHG5
chr1	6507006	6508482	Module_237	TNFRSF25
chr1	6549715	6551070	Module_246	TNFRSF25
chr1	6507006	6508482	Module_237	ACOT7
chr1	6507006	6508482	Module_237	ESPN
chr1	6549715	6551070	Module_246	ESPN
chr1	6549715	6551070	Module_246	NOL9
chr1	6549715	6551070	Module_246	ZBTB48
chr9	6680991	6682330	Module_37159	GLDC
chr9	6692583	6693250	Module_37160	GLDC
chr9	6680991	6682330	Module_37159	KDM4C
chr9	6692583	6693250	Module_37160	KDM4C
chr9	6771553	6772279	Module_37165	KDM4C
chr9	6777101	6777778	Module_37166	KDM4C
chr12	6722209	6723574	Module_7753	NOP2
chr12	6722209	6723574	Module_7753	IFFO1
chr12	6722209	6723574	Module_7753	CHD4
chr12	6722209	6723574	Module_7753	ING4
chr19	6752500	6753926	Module_17700	C3
chr19	6752500	6753926	Module_17700	SH2D3A
chr19	6765908	6766474	Module_17702	SH2D3A
chr19	6752500	6753926	Module_17700	TRIP10
chr6	7051454	7052560	Module_31313	RREB1
chr19	7098796	7099542	Module_17704	ZNF557
chr17	7117300	7118857	Module_14624	ASGR1
chr17	7117300	7118857	Module_14624	ACADVL
chr17	7117300	7118857	Module_14624	DLG4
chr17	7117300	7118857	Module_14624	DVL2
chr17	7117300	7118857	Module_14624	PHF23
chr17	7117300	7118857	Module_14624	GABARAP
chr17	7233212	7233969	Module_14634	YBX2
chr17	7233212	7233969	Module_14634	NEURL4
chr17	7233212	7233969	Module_14634	ACAP1
chr17	7233212	7233969	Module_14634	KCTD11
chr17	7233212	7233969	Module_14634	EIF5A
chr17	7233212	7233969	Module_14634	GPS2
chr17	7233212	7233969	Module_14634	TNK1
chr17	7233212	7233969	Module_14634	SLC2A4
chr19	7599656	7600670	Module_17720	MCOLN1
chr19	7599656	7600670	Module_17720	PNPLA6
chr19	7599656	7600670	Module_17720	PEX11G
chr19	7599656	7600670	Module_17720	CAMSAP3
chr19	7599656	7600670	Module_17720	ZNF358
chr19	7599656	7600670	Module_17720	PET100
chr19	7599656	7600670	Module_17720	STXBP2
chr17	7738353	7739410	Module_14663	CYB5D1
chr17	7739475	7740509	Module_14664	CYB5D1
chr17	7738353	7739410	Module_14663	NAA38
chr17	7739475	7740509	Module_14664	NAA38
chr17	7738353	7739410	Module_14663	TMEM88
chr17	7739475	7740509	Module_14664	TMEM88
chr17	7738353	7739410	Module_14663	CHD3
chr17	7739475	7740509	Module_14664	CHD3
chr4	8051962	8052544	Module_27715	AFAP1
chr11	8263694	8264194	Module_5715	RIC3
chr18	8622434	8623163	Module_16609	RAB12
chr2	8782532	8783094	Module_19499	ID2
chr12	8849982	8851377	Module_7828	RIMKLB
chr12	8849982	8851377	Module_7828	LINC00937
chr12	8849982	8851377	Module_7828	PHC1
chr12	8971688	8972340	Module_7835	PHC1
chr12	8849982	8851377	Module_7828	A2ML1
chr12	8971688	8972340	Module_7835	A2ML1
chr11	8861624	8862285	Module_5735	NRIP3
chr11	9058544	9059212	Module_5741	NRIP3
chr11	8861624	8862285	Module_5735	TMEM9B
chr11	8861624	8862285	Module_5735	ST5
chr11	8861624	8862285	Module_5735	AKIP1
chr11	8861624	8862285	Module_5735	TMEM9B-AS1
chr16	8962350	8963023	Module_13161	USP7
chr16	8962350	8963023	Module_13161	METTL22
chr16	8962350	8963023	Module_13161	PMM2
chr16	8962350	8963023	Module_13161	TMEM186
chr16	8962350	8963023	Module_13161	ABAT
chr16	8962350	8963023	Module_13161	CARHSP1
chr19	9165449	9165949	Module_17790	ZNF317
chr18	9434032	9434678	Module_16631	RALBP1
chr11	9634733	9636106	Module_5754	SWAP70
chr11	9634733	9636106	Module_5754	WEE1
chr1	10239064	10240320	Module_349	KIF1B
chr7	10948072	10948602	Module_33576	NDUFA4
chr19	11071169	11072317	Module_17869	YIPF2
chr19	11071169	11072317	Module_17869	SMARCA4
chr19	11200732	11201577	Module_17872	SMARCA4
chr19	11200732	11201577	Module_17872	LDLR
chr19	11200732	11201577	Module_17872	SPC24
chr18	11688955	11690222	Module_16659	GNAL
chr20	11763624	11764408	Module_22463	BTBD3
chr1	11967805	11969211	Module_389	KIAA2013
chr1	11967805	11969211	Module_389	PLOD1
chr1	11967805	11969211	Module_389	MTHFR
chr1	11967805	11969211	Module_389	CLCN6
chr1	11967805	11969211	Module_389	MFN2
chr1	11967805	11969211	Module_389	MIIP
chr1	11967805	11969211	Module_389	NPPB
chr1	11967805	11969211	Module_389	TNFRSF8
chr6	12749239	12750588	Module_31408	PHACTR1
chr11	12113440	12114026	Module_5790	MICAL2
chr11	12114148	12114685	Module_5791	MICAL2
chr18	12333729	12335628	Module_16691	TUBB6
chr18	12333729	12335628	Module_16691	AFG3L2
chr1	12654890	12656376	Module_406	DHRS3
chr12	12710524	12711104	Module_7885	DUSP16
chr12	12710524	12711104	Module_7885	CREBL2
chr19	13262242	13263032	Module_17974	TRMT1
chr19	13274261	13275803	Module_17978	TRMT1
chr19	13262242	13263032	Module_17974	NACC1
chr19	13274261	13275803	Module_17978	NACC1
chr19	13262242	13263032	Module_17974	IER2
chr19	13274261	13275803	Module_17978	IER2
chr19	13262242	13263032	Module_17974	STX10
chr19	13274261	13275803	Module_17978	STX10
chr10	13391624	13392318	Module_3918	PHYH
chr10	13391624	13392318	Module_3918	SEPHS1
chr10	13391624	13392318	Module_3918	BEND7
chr10	13391624	13392318	Module_3918	PRPF18
chr10	13391624	13392318	Module_3918	UCMA
chr10	13391624	13392318	Module_3918	MCM10
chr19	13957689	13958854	Module_17996	ZSWIM4
chr19	13957689	13958854	Module_17996	MRI1
chr19	13957689	13958854	Module_17996	CC2D1A
chr19	13957689	13958854	Module_17996	C19orf53
chr19	13957689	13958854	Module_17996	CCDC130
chr7	14028410	14029803	Module_33600	ETV1
chr3	14454344	14455177	Module_25225	SLC6A6
chr4	15480668	15481443	Module_27779	CC2D2A
chr4	15480668	15481443	Module_27779	FBXL5
chr4	15480668	15481443	Module_27779	FAM200B
chr5	15553546	15554210	Module_29347	FBXL7
chr5	15554401	15555135	Module_29348	FBXL7
chr1	15835069	15835845	Module_435	DNAJC16
chr1	15835069	15835845	Module_435	CASP9
chr1	15835069	15835845	Module_435	AGMAT
chr1	15835069	15835845	Module_435	EFHD2
chr1	15835069	15835845	Module_435	DDI2
chr1	15835069	15835845	Module_435	PLEKHM2
chr1	16161937	16162726	Module_448	PLEKHM2
chr17	15869567	15870282	Module_14776	ADORA2B
chr17	15869567	15870282	Module_14776	TTC19
chr17	15869567	15870282	Module_14776	MEIS3P1
chr17	16118256	16119276	Module_14779	MEIS3P1
chr17	15869567	15870282	Module_14776	ZSWIM7
chr17	15869567	15870282	Module_14776	TRIM16
chr17	15869567	15870282	Module_14776	TVP23C
chr17	15869567	15870282	Module_14776	TVP23C-CDRT4
chr17	15869567	15870282	Module_14776	ZNF286A
chr2	16078599	16079512	Module_19633	MYCN
chr17	16118256	16119276	Module_14779	PIGL
chr17	16118256	16119276	Module_14779	CENPV
chr17	16189095	16189862	Module_14783	CENPV
chr1	16161937	16162726	Module_448	FBLIM1
chr1	16161937	16162726	Module_448	SPEN
chr1	16161937	16162726	Module_448	ZBTB17
chr1	16339300	16340084	Module_454	ZBTB17
chr1	16161937	16162726	Module_448	FLJ37453
chr10	16428439	16429868	Module_3968	PTER
chr1	16442187	16443503	Module_457	EPHA2
chr1	16471365	16473382	Module_458	EPHA2
chr4	16909833	16910757	Module_27808	LDB2
chr19	17358966	17359727	Module_18111	BABAM1
chr19	17438298	17439337	Module_18117	BABAM1
chr19	17358966	17359727	Module_18111	USE1
chr19	17358966	17359727	Module_18111	NR2F6
chr19	17358966	17359727	Module_18111	OCEL1
chr19	17358966	17359727	Module_18111	USHBP1
chr19	17438298	17439337	Module_18117	USHBP1
chr19	17438298	17439337	Module_18117	DDA1
chr19	17438298	17439337	Module_18117	GTPBP3
chr19	17438298	17439337	Module_18117	ABHD8
chr19	17438298	17439337	Module_18117	MRPL34
chr19	17438298	17439337	Module_18117	ANO8
chr22	17652141	17652881	Module_23954	TPTEP1
chr22	17679103	17680679	Module_23956	TPTEP1
chr22	17652141	17652881	Module_23954	CECR6
chr22	17679103	17680679	Module_23956	CECR6
chr22	17652141	17652881	Module_23954	IL17RA
chr22	17679103	17680679	Module_23956	IL17RA
chr22	17652141	17652881	Module_23954	CECR2
chr22	17679103	17680679	Module_23956	CECR2
chr1	17764076	17765377	Module_497	RCC2
chr19	18334597	18335855	Module_18185	RAB3A
chr19	18334597	18335855	Module_18185	MPV17L2
chr19	18334597	18335855	Module_18185	IFI30
chr6	18395269	18395956	Module_31478	RNF144B
chr1	18416895	18417757	Module_518	IGSF21
chr3	18466274	18467517	Module_25299	SATB1
chr22	18483300	18484546	Module_23988	MICAL3
chr22	18483300	18484546	Module_23988	PEX26
chr22	18483300	18484546	Module_23988	BID
chr19	18539518	18540826	Module_18212	SSBP4
chr19	18539518	18540826	Module_18212	GDF15
chr19	18539518	18540826	Module_18212	ISYNA1
chr19	19271209	19271955	Module_18246	RFXANK
chr19	19271209	19271955	Module_18246	NR2C2AP
chr19	19271209	19271955	Module_18246	TMEM161A
chr19	19271209	19271955	Module_18246	MEF2B
chr22	19434399	19435250	Module_24013	MRPL40
chr22	19434399	19435250	Module_24013	C22orf39
chr22	19434399	19435250	Module_24013	CDC45
chr9	19444808	19445768	Module_37245	ACER2
chr9	19444808	19445768	Module_37245	RPS6
chr19	19516056	19517884	Module_18258	MAU2
chr19	19516056	19517884	Module_18258	SUGP1
chr19	19516056	19517884	Module_18258	GATAD2A
chr19	19599951	19600603	Module_18262	NDUFA13
chr19	19599951	19600603	Module_18262	YJEFN3
chr11	19838656	19839414	Module_5910	NAV2
chr8	20125647	20126869	Module_35674	LZTS1
chr8	20292639	20293139	Module_35681	LZTS1
chr8	20125647	20126869	Module_35674	ATP6V1B2
chr11	20364009	20364799	Module_5922	HTATIP2
chr11	20364009	20364799	Module_5922	PRMT3
chr6	20403389	20404101	Module_31487	E2F3
chr6	20403389	20404101	Module_31487	CDKAL1
chr6	20466908	20467628	Module_31490	CDKAL1
chr22	21325262	21325931	Module_24078	LZTR1
chr14	21571789	21572429	Module_10411	ZNF219
chr14	21571789	21572429	Module_10411	ARHGEF40
chr14	21571789	21572429	Module_10411	LINC00641
chr14	21571789	21572429	Module_10411	HNRNPC
chr14	21571789	21572429	Module_10411	NDRG2
chr14	21571789	21572429	Module_10411	METTL17
chr10	21805596	21806559	Module_4016	CASC10
chr10	21805596	21806559	Module_4016	MLLT10
chr10	21805596	21806559	Module_4016	SKIDA1
chr14	21993966	21995169	Module_10430	SALL2
chr14	21993966	21995169	Module_10430	CHD8
chr14	21993966	21995169	Module_10430	METTL3
chr14	21993966	21995169	Module_10430	TOX4
chr14	21993966	21995169	Module_10430	RAB2B
chr14	21993966	21995169	Module_10430	SUPT16H
chr22	22274042	22274772	Module_24107	PPM1F
chr22	22274042	22274772	Module_24107	TOP3B
chr22	22274042	22274772	Module_24107	MAPK1
chr22	22274042	22274772	Module_24107	YPEL1
chr22	22274042	22274772	Module_24107	PI4KAP2
chr7	22371759	22372437	Module_33669	RAPGEF5
chr16	22646355	22647093	Module_13392	SMG1P1
chr16	22646355	22647093	Module_13392	NPIPB5
chr8	22721928	22722792	Module_35744	RHOBTB2
chr8	22721928	22722792	Module_35744	TNFRSF10B
chr8	22973776	22974467	Module_35752	TNFRSF10B
chr8	22973776	22974467	Module_35752	TNFRSF10C
chr8	22973776	22974467	Module_35752	TNFRSF10D
chr14	23291114	23292363	Module_10443	LRP10
chr14	23291114	23292363	Module_10443	MRPL52
chr14	23291114	23292363	Module_10443	OXA1L
chr14	23291114	23292363	Module_10443	MMP14
chr14	23291114	23292363	Module_10443	SLC7A7
chr14	23291114	23292363	Module_10443	RBM23
chr14	23476034	23476602	Module_10457	RBM23
chr20	23453770	23454435	Module_22552	NAPB
chr14	23476034	23476602	Module_10457	C14orf93
chr14	23476034	23476602	Module_10457	PRMT5
chr14	23476034	23476602	Module_10457	PSMB5
chr14	23476034	23476602	Module_10457	C14orf119
chr14	23476034	23476602	Module_10457	ACIN1
chr14	23476034	23476602	Module_10457	HAUS4
chr14	23476034	23476602	Module_10457	AJUBA
chr14	23476034	23476602	Module_10457	CDH24
chr22	23584505	23585815	Module_24138	GNAZ
chr22	23584505	23585815	Module_24138	BCR
chr1	23589833	23590351	Module_678	HTR1D
chr1	23589833	23590351	Module_678	LUZP1
chr1	23589833	23590351	Module_678	HNRNPR
chr8	23643077	23643612	Module_35781	STC1
chr8	23643077	23643612	Module_35781	NKX3-1
chr14	23749192	23749728	Module_10480	HOMEZ
chr14	23770612	23771451	Module_10484	HOMEZ
chr14	23749192	23749728	Module_10480	BCL2L2
chr14	23770612	23771451	Module_10484	BCL2L2
chr14	23749192	23749728	Module_10480	BCL2L2-PABPN1
chr14	23770612	23771451	Module_10484	BCL2L2-PABPN1
chr14	23770612	23771451	Module_10484	PABPN1
chr14	23770612	23771451	Module_10484	NGDN
chr14	23770612	23771451	Module_10484	SLC22A17
chr14	23770612	23771451	Module_10484	EFS
chr14	23770612	23771451	Module_10484	SLC7A8
chr9	23821120	23822024	Module_37276	ELAVL2
chr1	23880697	23881758	Module_688	ID3
chr1	23882385	23883009	Module_689	ID3
chr1	23880697	23881758	Module_688	ASAP3
chr1	23880697	23881758	Module_688	E2F2
chr1	23882385	23883009	Module_689	E2F2
chr18	24127353	24128774	Module_16773	KCTD1
chr18	24235836	24237297	Module_16781	KCTD1
chr22	24199537	24200473	Module_24148	SMARCB1
chr22	24199537	24200473	Module_24148	DDT
chr22	24199537	24200473	Module_24148	DDTL
chr22	24199537	24200473	Module_24148	GUSBP11
chr22	24199537	24200473	Module_24148	SLC2A11
chr22	24199537	24200473	Module_24148	RGL4
chr22	24199537	24200473	Module_24148	MIF
chr22	24199537	24200473	Module_24148	DERL3
chr2	24306674	24307566	Module_19707	FKBP1B
chr2	24306674	24307566	Module_19707	TP53I3
chr2	24306674	24307566	Module_19707	ATAD2B
chr2	24306674	24307566	Module_19707	UBXN2A
chr2	24713652	24715035	Module_19710	ITSN2
chr2	24713652	24715035	Module_19710	NCOA1
chr6	24400483	24401138	Module_31525	GPLD1
chr6	24400483	24401138	Module_31525	MRS2
chr20	24423641	24425204	Module_22561	SYNDIG1
chr1	24476911	24478167	Module_703	IFNLR1
chr4	24660570	24661411	Module_27840	SOD3
chr4	24660570	24661411	Module_27840	DHX15
chr14	24671613	24672244	Module_10520	TM9SF1
chr14	24671613	24672244	Module_10520	MDP1
chr14	24671613	24672244	Module_10520	IPO4
chr7	25018926	25020216	Module_33742	CYCS
chr7	25018926	25020216	Module_33742	OSBPL3
chr1	25051041	25052265	Module_718	CLIC4
chr1	25051041	25052265	Module_718	SRRM1
chr8	25055413	25055923	Module_35806	DOCK5
chr4	25133250	25133969	Module_27852	SEPSECS
chr22	25348112	25349868	Module_24180	KIAA1671
chr22	25348112	25349868	Module_24180	SGSM1
chr22	25348112	25349868	Module_24180	LRP5L
chr2	25473219	25475682	Module_19731	POMC
chr3	25861788	25862432	Module_25330	NGLY1
chr6	25963592	25964379	Module_31551	TRIM38
chr4	25994907	25995616	Module_27872	SMIM20
chr1	26201572	26202810	Module_750	STMN1
chr1	26201572	26202810	Module_750	AUNIP
chr1	26201572	26202810	Module_750	MTFR1L
chr1	26201572	26202810	Module_750	PAQR7
chr8	26306621	26308028	Module_35816	BNIP3L
chr8	26306621	26308028	Module_35816	PNMA2
chr8	26306621	26308028	Module_35816	SDAD1P1
chr8	26306621	26308028	Module_35816	PPP2R2A
chr4	26322038	26323286	Module_27878	RBPJ
chr4	26322038	26323286	Module_27878	TBC1D19
chr1	26608251	26609388	Module_769	SH3BGRL3
chr1	26608251	26609388	Module_769	CD52
chr1	26826543	26827879	Module_792	HMGN2
chr1	26826543	26827879	Module_792	RPS6KA1
chr1	26826543	26827879	Module_792	DHDDS
chr2	26980703	26981439	Module_19770	SLC35F6
chr2	26980703	26981439	Module_19770	CENPA
chr7	26988196	26988782	Module_33770	SKAP2
chr1	27333408	27335108	Module_817	TRNP1
chr1	27333408	27335108	Module_817	FAM46B
chr3	27574075	27575720	Module_25336	SLC4A7
chr1	27633068	27634078	Module_828	TMEM222
chr1	27633068	27634078	Module_828	SYTL1
chr1	27633068	27634078	Module_828	WDTC1
chr1	27633068	27634078	Module_828	MAP3K6
chr11	27657083	27657717	Module_5958	LINC00678
chr11	27740112	27740932	Module_5965	LINC00678
chr11	27743624	27744955	Module_5967	LINC00678
chr11	27740112	27740932	Module_5965	BDNF
chr11	27743624	27744955	Module_5967	BDNF
chr11	27740112	27740932	Module_5965	LIN7C
chr11	27743624	27744955	Module_5967	LIN7C
chr1	27901664	27902802	Module_859	AHDC1
chr1	27933485	27934229	Module_868	AHDC1
chr1	27901664	27902802	Module_859	IFI6
chr1	27901664	27902802	Module_859	FAM76A
chr15	28264534	28265238	Module_11626	HERC2
chr15	29121329	29121955	Module_11633	HERC2
chr7	28331036	28331670	Module_33782	JAZF1
chr1	28695960	28696618	Module_893	MED18
chr1	28695960	28696618	Module_893	SNHG3
chr16	28834929	28835817	Module_13463	SULT1A1
chr16	28834929	28835817	Module_13463	ATXN2L
chr16	28834929	28835817	Module_13463	SH2B1
chr16	28834929	28835817	Module_13463	TUFM
chr16	28834929	28835817	Module_13463	RABEP2
chr17	28927162	28927798	Module_15042	SUZ12P1
chr17	28927162	28927798	Module_15042	GOSR1
chr17	28927162	28927798	Module_15042	CRLF3
chr17	28927162	28927798	Module_15042	CPD
chr17	28927162	28927798	Module_15042	ATAD5
chr1	28974460	28975929	Module_901	RAB42
