Chrom	Start	End	Module	Gene	Sample
chr16	433610	434292	Module_12872	NME4	6h_sample
chr16	433610	434292	Module_12872	NME4	48h_sample
chr16	433610	434292	Module_12872	DECR2	3h_sample
chr16	433610	434292	Module_12872	DECR2	24h_sample
chr16	433610	434292	Module_12872	DECR2	12h_sample
chr16	433610	434292	Module_12872	DECR2	0h_sample
chr16	433610	434292	Module_12872	DECR2	6h_sample
chr16	433610	434292	Module_12872	MRPL28	3h_sample
chr16	433610	434292	Module_12872	MRPL28	24h_sample
chr16	433610	434292	Module_12872	MRPL28	12h_sample
chr16	433610	434292	Module_12872	MRPL28	0h_sample
chr16	433610	434292	Module_12872	MRPL28	6h_sample
chr16	433610	434292	Module_12872	MRPL28	48h_sample
chr16	433610	434292	Module_12872	RAB11FIP3	3h_sample
chr16	433610	434292	Module_12872	RAB11FIP3	24h_sample
chr16	433610	434292	Module_12872	RAB11FIP3	12h_sample
chr16	433610	434292	Module_12872	RAB11FIP3	0h_sample
chr16	433610	434292	Module_12872	RAB11FIP3	6h_sample
chr16	433610	434292	Module_12872	TMEM8A	3h_sample
chr16	433610	434292	Module_12872	TMEM8A	24h_sample
chr16	433610	434292	Module_12872	TMEM8A	72h_sample
chr16	433610	434292	Module_12872	TMEM8A	12h_sample
chr16	433610	434292	Module_12872	TMEM8A	0h_sample
chr16	433610	434292	Module_12872	TMEM8A	6h_sample
chr16	433610	434292	Module_12872	TMEM8A	48h_sample
chr19	488543	489511	Module_17298	TPGS1	3h_sample
chr19	488543	489511	Module_17298	TPGS1	48h_sample
chr19	488543	489511	Module_17298	TPGS1	24h_sample
chr19	488543	489511	Module_17298	TPGS1	72h_sample
chr19	488543	489511	Module_17298	TPGS1	12h_sample
chr19	488543	489511	Module_17298	TPGS1	6h_sample
chr19	488543	489511	Module_17298	TPGS1	0h_sample
chr19	488543	489511	Module_17298	CDC34	3h_sample
chr19	488543	489511	Module_17298	CDC34	48h_sample
chr19	488543	489511	Module_17298	CDC34	24h_sample
chr19	488543	489511	Module_17298	CDC34	72h_sample
chr19	488543	489511	Module_17298	CDC34	12h_sample
chr19	488543	489511	Module_17298	CDC34	6h_sample
chr19	488543	489511	Module_17298	CDC34	0h_sample
chr19	488543	489511	Module_17298	SHC2	3h_sample
chr19	488543	489511	Module_17298	SHC2	48h_sample
chr19	488543	489511	Module_17298	SHC2	24h_sample
chr19	488543	489511	Module_17298	SHC2	72h_sample
chr19	488543	489511	Module_17298	SHC2	12h_sample
chr19	488543	489511	Module_17298	C2CD4C	48h_sample
chr19	488543	489511	Module_17298	C2CD4C	0h_sample
chr19	488543	489511	Module_17298	BSG	24h_sample
chr19	488543	489511	Module_17298	BSG	12h_sample
chr12	618796	619809	Module_7594	CCDC77	72h_sample
chr12	618796	619809	Module_7594	CCDC77	0h_sample
chr12	618796	619809	Module_7594	CCDC77	6h_sample
chr12	618796	619809	Module_7594	CCDC77	3h_sample
chr12	618796	619809	Module_7594	CCDC77	48h_sample
chr12	618796	619809	Module_7594	CCDC77	24h_sample
chr12	618796	619809	Module_7594	B4GALNT3	72h_sample
chr12	618796	619809	Module_7594	B4GALNT3	0h_sample
chr12	618796	619809	Module_7594	B4GALNT3	6h_sample
chr12	618796	619809	Module_7594	B4GALNT3	3h_sample
chr12	618796	619809	Module_7594	B4GALNT3	48h_sample
chr12	618796	619809	Module_7594	B4GALNT3	24h_sample
chr12	618796	619809	Module_7594	KDM5A	72h_sample
chr12	618796	619809	Module_7594	KDM5A	0h_sample
chr12	618796	619809	Module_7594	KDM5A	3h_sample
chr12	618796	619809	Module_7594	KDM5A	48h_sample
chr12	618796	619809	Module_7594	KDM5A	24h_sample
chr12	618796	619809	Module_7594	LOC100049716	72h_sample
chr11	638116	639186	Module_5502	IRF7	48h_sample
chr11	638116	639186	Module_5502	IRF7	72h_sample
chr11	638116	639186	Module_5502	IRF7	24h_sample
chr11	638116	639186	Module_5502	IRF7	3h_sample
chr11	638778	639435	Module_5503	IRF7	6h_sample
chr11	638778	639435	Module_5503	IRF7	72h_sample
chr11	638116	639186	Module_5502	DRD4	48h_sample
chr11	638116	639186	Module_5502	DRD4	72h_sample
chr11	638778	639435	Module_5503	DRD4	72h_sample
chr11	638116	639186	Module_5502	DEAF1	72h_sample
chr11	638778	639435	Module_5503	DEAF1	72h_sample
chr11	743674	744222	Module_5514	DEAF1	24h_sample
chr11	743674	744222	Module_5514	DEAF1	0h_sample
chr11	743824	744333	Module_5516	DEAF1	6h_sample
chr11	743824	744333	Module_5516	DEAF1	12h_sample
chr11	743824	744333	Module_5516	DEAF1	3h_sample
chr11	638116	639186	Module_5502	EPS8L2	72h_sample
chr11	638778	639435	Module_5503	EPS8L2	72h_sample
chr11	743674	744222	Module_5514	EPS8L2	24h_sample
chr11	743674	744222	Module_5514	EPS8L2	0h_sample
chr11	743824	744333	Module_5516	EPS8L2	6h_sample
chr11	743824	744333	Module_5516	EPS8L2	12h_sample
chr11	743824	744333	Module_5516	EPS8L2	3h_sample
chr11	638116	639186	Module_5502	TMEM80	72h_sample
chr11	638778	639435	Module_5503	TMEM80	72h_sample
chr11	743674	744222	Module_5514	TMEM80	24h_sample
chr11	743674	744222	Module_5514	TMEM80	0h_sample
chr11	743824	744333	Module_5516	TMEM80	6h_sample
chr11	743824	744333	Module_5516	TMEM80	12h_sample
chr11	743824	744333	Module_5516	TMEM80	3h_sample
chr11	638778	639435	Module_5503	PHRF1	72h_sample
chr7	704820	705821	Module_33302	PRKAR1B	24h_sample
chr7	704820	705821	Module_33302	PRKAR1B	12h_sample
chr7	704820	705821	Module_33302	PRKAR1B	3h_sample
chr7	704820	705821	Module_33302	PRKAR1B	0h_sample
chr2	729363	729912	Module_19434	TMEM18	12h_sample
chr2	729363	729912	Module_19434	TMEM18	3h_sample
chr2	729363	729912	Module_19434	TMEM18	0h_sample
chr2	729363	729912	Module_19434	TMEM18	24h_sample
chr2	729363	729912	Module_19434	TMEM18	6h_sample
chr11	743674	744222	Module_5514	PDDC1	24h_sample
chr11	743674	744222	Module_5514	PDDC1	0h_sample
chr11	743824	744333	Module_5516	PDDC1	6h_sample
chr11	743824	744333	Module_5516	PDDC1	12h_sample
chr11	743824	744333	Module_5516	PDDC1	3h_sample
chr11	743674	744222	Module_5514	TALDO1	24h_sample
chr11	743674	744222	Module_5514	TALDO1	0h_sample
chr11	743815	744315	Module_5515	TALDO1	48h_sample
chr11	743824	744333	Module_5516	TALDO1	6h_sample
chr11	743824	744333	Module_5516	TALDO1	12h_sample
chr11	743824	744333	Module_5516	TALDO1	3h_sample
chr11	854692	855192	Module_5532	TSPAN4	72h_sample
chr11	854692	855192	Module_5532	POLR2L	72h_sample
chr2	920808	921409	Module_19445	LOC101060391	6h_sample
chr2	920808	921409	Module_19445	LOC101060391	3h_sample
chr2	920808	921409	Module_19445	LOC101060391	24h_sample
chr2	920808	921409	Module_19445	LOC101060391	12h_sample
chr2	920808	921409	Module_19445	LOC101060391	0h_sample
chr2	920808	921409	Module_19445	SNTG2	6h_sample
chr2	920808	921409	Module_19445	SNTG2	3h_sample
chr2	920808	921409	Module_19445	SNTG2	24h_sample
chr2	920808	921409	Module_19445	SNTG2	12h_sample
chr2	920808	921409	Module_19445	SNTG2	0h_sample
chr7	984949	985787	Module_33322	COX19	48h_sample
chr7	984949	985787	Module_33322	COX19	12h_sample
chr7	984949	985787	Module_33322	COX19	24h_sample
chr7	984949	985787	Module_33322	COX19	6h_sample
chr7	984949	985787	Module_33322	COX19	0h_sample
chr7	984949	985787	Module_33322	COX19	3h_sample
chr7	1067139	1068220	Module_33334	COX19	6h_sample
chr7	1067139	1068220	Module_33334	COX19	12h_sample
chr7	1067139	1068220	Module_33334	COX19	24h_sample
chr7	1067139	1068220	Module_33334	COX19	0h_sample
chr7	1067139	1068220	Module_33334	COX19	48h_sample
chr7	1067139	1068220	Module_33334	COX19	3h_sample
chr7	1067139	1068220	Module_33334	COX19	72h_sample
chr7	984949	985787	Module_33322	ADAP1	12h_sample
chr7	984949	985787	Module_33322	ADAP1	24h_sample
chr7	984949	985787	Module_33322	ADAP1	6h_sample
chr7	984949	985787	Module_33322	ADAP1	0h_sample
chr7	984949	985787	Module_33322	ADAP1	3h_sample
chr7	1067139	1068220	Module_33334	ADAP1	6h_sample
chr7	1067139	1068220	Module_33334	ADAP1	24h_sample
chr7	1067139	1068220	Module_33334	ADAP1	0h_sample
chr7	1067139	1068220	Module_33334	ADAP1	3h_sample
chr7	984949	985787	Module_33322	GET4	12h_sample
chr7	984949	985787	Module_33322	GET4	24h_sample
chr4	1037365	1037958	Module_27482	FGFRL1	3h_sample
chr4	1037365	1037958	Module_27482	FGFRL1	6h_sample
chr4	1037365	1037958	Module_27482	FGFRL1	0h_sample
chr4	1037365	1037958	Module_27482	FGFRL1	24h_sample
chr4	1037365	1037958	Module_27482	DGKQ	3h_sample
chr7	1067139	1068220	Module_33334	C7orf50	6h_sample
chr7	1067139	1068220	Module_33334	C7orf50	24h_sample
chr7	1067139	1068220	Module_33334	C7orf50	0h_sample
chr7	1067139	1068220	Module_33334	C7orf50	48h_sample
chr7	1067139	1068220	Module_33334	C7orf50	3h_sample
chr7	1067139	1068220	Module_33334	C7orf50	72h_sample
chr7	1067139	1068220	Module_33334	ZFAND2A	24h_sample
chr7	1067139	1068220	Module_33334	ZFAND2A	3h_sample
chr7	1067139	1068220	Module_33334	LOC101927021	3h_sample
chr19	1070662	1071730	Module_17370	ABCA7	24h_sample
chr19	1070662	1071730	Module_17370	ABCA7	48h_sample
chr19	1070662	1071730	Module_17370	ABCA7	6h_sample
chr19	1070662	1071730	Module_17370	ABCA7	3h_sample
chr19	1070662	1071730	Module_17370	ABCA7	72h_sample
chr19	1070662	1071730	Module_17370	POLR2E	24h_sample
chr19	1070662	1071730	Module_17370	POLR2E	0h_sample
chr19	1070662	1071730	Module_17370	POLR2E	48h_sample
chr19	1070662	1071730	Module_17370	POLR2E	6h_sample
chr19	1070662	1071730	Module_17370	POLR2E	3h_sample
chr19	1070662	1071730	Module_17370	POLR2E	72h_sample
chr19	1070662	1071730	Module_17370	POLR2E	12h_sample
chr19	1070662	1071730	Module_17370	GPX4	24h_sample
chr19	1070662	1071730	Module_17370	GPX4	6h_sample
chr19	1070662	1071730	Module_17370	GPX4	3h_sample
chr19	1070662	1071730	Module_17370	GPX4	72h_sample
chr19	1070662	1071730	Module_17370	GPX4	12h_sample
chr16	1195155	1195937	Module_12927	CACNA1H	72h_sample
chr16	1195155	1195937	Module_12927	CACNA1H	48h_sample
chr16	1195155	1195937	Module_12927	CACNA1H	24h_sample
chr19	1249193	1249912	Module_17388	CIRBP-AS1	3h_sample
chr19	1249193	1249912	Module_17388	CIRBP-AS1	6h_sample
chr19	1249193	1249912	Module_17388	CIRBP-AS1	0h_sample
chr19	1249193	1249912	Module_17388	CIRBP-AS1	72h_sample
chr19	1249193	1249912	Module_17388	CIRBP-AS1	24h_sample
chr19	1249193	1249912	Module_17388	ATP5D	3h_sample
chr19	1249193	1249912	Module_17388	ATP5D	12h_sample
chr19	1249193	1249912	Module_17388	ATP5D	6h_sample
chr19	1249193	1249912	Module_17388	ATP5D	48h_sample
chr19	1249193	1249912	Module_17388	ATP5D	0h_sample
chr19	1249193	1249912	Module_17388	ATP5D	72h_sample
chr19	1249193	1249912	Module_17388	ATP5D	24h_sample
chr19	1249193	1249912	Module_17388	EFNA2	3h_sample
chr19	1249193	1249912	Module_17388	EFNA2	12h_sample
chr19	1249193	1249912	Module_17388	EFNA2	48h_sample
chr19	1249193	1249912	Module_17388	EFNA2	0h_sample
chr19	1249193	1249912	Module_17388	EFNA2	72h_sample
chr19	1249193	1249912	Module_17388	EFNA2	24h_sample
chr19	1249193	1249912	Module_17388	MIDN	3h_sample
chr19	1249193	1249912	Module_17388	MIDN	12h_sample
chr19	1249193	1249912	Module_17388	MIDN	6h_sample
chr19	1249193	1249912	Module_17388	MIDN	48h_sample
chr19	1249193	1249912	Module_17388	MIDN	0h_sample
chr19	1249193	1249912	Module_17388	MIDN	72h_sample
chr19	1249193	1249912	Module_17388	MIDN	24h_sample
chr19	1249193	1249912	Module_17388	CIRBP	3h_sample
chr19	1249193	1249912	Module_17388	CIRBP	12h_sample
chr19	1249193	1249912	Module_17388	CIRBP	6h_sample
chr19	1249193	1249912	Module_17388	CIRBP	48h_sample
chr19	1249193	1249912	Module_17388	CIRBP	0h_sample
chr19	1249193	1249912	Module_17388	CIRBP	72h_sample
chr19	1249193	1249912	Module_17388	CIRBP	24h_sample
chr19	1249193	1249912	Module_17388	STK11	3h_sample
chr19	1249193	1249912	Module_17388	STK11	12h_sample
chr19	1249193	1249912	Module_17388	STK11	6h_sample
chr19	1249193	1249912	Module_17388	STK11	48h_sample
chr19	1249193	1249912	Module_17388	STK11	0h_sample
chr19	1249193	1249912	Module_17388	STK11	72h_sample
chr19	1249193	1249912	Module_17388	STK11	24h_sample
chr19	1249193	1249912	Module_17388	C19orf24	3h_sample
chr19	1249193	1249912	Module_17388	C19orf24	12h_sample
chr19	1249193	1249912	Module_17388	C19orf24	6h_sample
chr19	1249193	1249912	Module_17388	C19orf24	48h_sample
chr19	1249193	1249912	Module_17388	C19orf24	0h_sample
chr19	1249193	1249912	Module_17388	C19orf24	72h_sample
chr19	1249193	1249912	Module_17388	C19orf24	24h_sample
chr19	1249193	1249912	Module_17388	SBNO2	12h_sample
chr20	1281468	1282183	Module_22278	SDCBP2	0h_sample
chr20	1281468	1282183	Module_22278	SDCBP2	3h_sample
chr20	1281468	1282183	Module_22278	SDCBP2	12h_sample
chr20	1281468	1282183	Module_22278	SDCBP2	24h_sample
chr20	1281468	1282183	Module_22278	SDCBP2	48h_sample
chr20	1281468	1282183	Module_22278	SNPH	0h_sample
chr20	1281468	1282183	Module_22278	SNPH	12h_sample
chr20	1281468	1282183	Module_22278	TMEM74B	24h_sample
chr20	1281468	1282183	Module_22278	FKBP1A	24h_sample
chr19	1414878	1416149	Module_17409	DAZAP1	12h_sample
chr19	1414878	1416149	Module_17409	DAZAP1	72h_sample
chr19	1414878	1416149	Module_17409	DAZAP1	6h_sample
chr19	1414878	1416149	Module_17409	DAZAP1	48h_sample
chr19	1414878	1416149	Module_17409	DAZAP1	3h_sample
chr19	1414878	1416149	Module_17409	GAMT	12h_sample
chr19	1414878	1416149	Module_17409	GAMT	6h_sample
chr19	1414878	1416149	Module_17409	GAMT	48h_sample
chr19	1414878	1416149	Module_17409	GAMT	3h_sample
chr19	1414878	1416149	Module_17409	NDUFS7	6h_sample
chr19	1414878	1416149	Module_17409	NDUFS7	3h_sample
chr19	1414878	1416149	Module_17409	RPS15	6h_sample
chr19	1414878	1416149	Module_17409	RPS15	3h_sample
chr16	1429103	1430152	Module_12944	GNPTG	12h_sample
chr16	1429103	1430152	Module_12944	GNPTG	3h_sample
chr16	1429103	1430152	Module_12944	GNPTG	6h_sample
chr16	1429103	1430152	Module_12944	GNPTG	0h_sample
chr16	1429103	1430152	Module_12944	GNPTG	72h_sample
chr16	1429103	1430152	Module_12944	GNPTG	48h_sample
chr16	1429103	1430152	Module_12944	GNPTG	24h_sample
chr16	1429103	1430152	Module_12944	TSR3	12h_sample
chr16	1429103	1430152	Module_12944	TSR3	3h_sample
chr16	1429103	1430152	Module_12944	TSR3	6h_sample
chr16	1429103	1430152	Module_12944	TSR3	0h_sample
chr16	1429103	1430152	Module_12944	TSR3	72h_sample
chr16	1429103	1430152	Module_12944	TSR3	48h_sample
chr16	1429103	1430152	Module_12944	TSR3	24h_sample
chr16	1429103	1430152	Module_12944	UNKL	12h_sample
chr16	1429103	1430152	Module_12944	UNKL	3h_sample
chr16	1429103	1430152	Module_12944	UNKL	6h_sample
chr16	1429103	1430152	Module_12944	UNKL	0h_sample
chr16	1429103	1430152	Module_12944	UNKL	72h_sample
chr16	1429103	1430152	Module_12944	UNKL	48h_sample
chr16	1429103	1430152	Module_12944	UNKL	24h_sample
chr16	1429103	1430152	Module_12944	C16orf91	12h_sample
chr16	1429103	1430152	Module_12944	C16orf91	3h_sample
chr16	1429103	1430152	Module_12944	C16orf91	6h_sample
chr16	1429103	1430152	Module_12944	C16orf91	0h_sample
chr16	1429103	1430152	Module_12944	C16orf91	72h_sample
chr16	1429103	1430152	Module_12944	C16orf91	48h_sample
chr16	1429103	1430152	Module_12944	C16orf91	24h_sample
chr16	1429103	1430152	Module_12944	BAIAP3	3h_sample
chr16	1429103	1430152	Module_12944	UBE2I	6h_sample
chr16	1429103	1430152	Module_12944	UBE2I	0h_sample
chr16	1429103	1430152	Module_12944	CLCN7	6h_sample
chr16	1429103	1430152	Module_12944	CLCN7	0h_sample
chr17	1488812	1489506	Module_14450	PITPNA-AS1	24h_sample
chr17	1488812	1489506	Module_14450	PITPNA-AS1	6h_sample
chr17	1488812	1489506	Module_14450	RILP	24h_sample
chr17	1488812	1489506	Module_14450	RILP	6h_sample
chr17	1488812	1489506	Module_14450	INPP5K	24h_sample
chr17	1488812	1489506	Module_14450	INPP5K	6h_sample
chr17	1488812	1489506	Module_14450	SLC43A2	24h_sample
chr17	1488812	1489506	Module_14450	SLC43A2	6h_sample
chr17	1488812	1489506	Module_14450	SLC43A2	12h_sample
chr17	1488812	1489506	Module_14450	SLC43A2	0h_sample
chr7	1616347	1616879	Module_33383	MAFK	24h_sample
chr7	1616347	1616879	Module_33383	MAFK	6h_sample
chr7	1616347	1616879	Module_33383	MAFK	12h_sample
chr7	1616347	1616879	Module_33383	MAFK	3h_sample
chr2	1746682	1747737	Module_19461	PXDN	48h_sample
chr2	1746682	1747737	Module_19461	PXDN	0h_sample
chr2	1746682	1747737	Module_19461	PXDN	3h_sample
chr2	1746682	1747737	Module_19461	PXDN	6h_sample
chr2	1746682	1747737	Module_19461	PXDN	72h_sample
chr2	1746682	1747737	Module_19461	PXDN	12h_sample
chr2	1746682	1747737	Module_19461	PXDN	24h_sample
chr8	1750233	1751300	Module_35497	LOC101927752	3h_sample
chr8	1750233	1751300	Module_35497	LOC101927752	48h_sample
chr8	1750233	1751300	Module_35497	LOC101927752	24h_sample
chr8	1750233	1751300	Module_35497	LOC101927752	72h_sample
chr8	1750233	1751300	Module_35497	LOC101927752	12h_sample
chr8	1750233	1751300	Module_35497	KBTBD11	3h_sample
chr8	1750233	1751300	Module_35497	KBTBD11	24h_sample
chr8	1750233	1751300	Module_35497	ARHGEF10	3h_sample
chr8	1750233	1751300	Module_35497	ARHGEF10	48h_sample
chr8	1750233	1751300	Module_35497	ARHGEF10	24h_sample
chr8	1750233	1751300	Module_35497	ARHGEF10	72h_sample
chr8	1750233	1751300	Module_35497	ARHGEF10	12h_sample
chr8	1750233	1751300	Module_35497	CLN8	3h_sample
chr8	1750233	1751300	Module_35497	CLN8	48h_sample
chr8	1750233	1751300	Module_35497	CLN8	24h_sample
chr8	1750233	1751300	Module_35497	CLN8	72h_sample
chr8	1750233	1751300	Module_35497	CLN8	12h_sample
chr4	1768241	1770142	Module_27505	SLBP	48h_sample
chr4	1768241	1770142	Module_27505	SLBP	0h_sample
chr4	1768241	1770142	Module_27505	SLBP	72h_sample
chr4	1768241	1770142	Module_27505	SLBP	24h_sample
chr4	1768241	1770142	Module_27505	FGFR3	48h_sample
chr4	1768241	1770142	Module_27505	FGFR3	0h_sample
chr4	1768241	1770142	Module_27505	FGFR3	72h_sample
chr4	1768241	1770142	Module_27505	FGFR3	24h_sample
chr4	1768241	1770142	Module_27505	FGFR3	12h_sample
chr4	1768241	1770142	Module_27505	FGFR3	3h_sample
chr4	1871845	1874063	Module_27514	FGFR3	3h_sample
chr4	1871845	1874063	Module_27514	FGFR3	72h_sample
chr4	1871845	1874063	Module_27514	FGFR3	48h_sample
chr4	1871845	1874063	Module_27514	FGFR3	24h_sample
chr4	1871845	1874063	Module_27514	FGFR3	0h_sample
chr4	1871845	1874063	Module_27514	FGFR3	12h_sample
chr4	1768241	1770142	Module_27505	TMEM129	48h_sample
chr4	1768241	1770142	Module_27505	TMEM129	0h_sample
chr4	1768241	1770142	Module_27505	TMEM129	72h_sample
chr4	1768241	1770142	Module_27505	TMEM129	24h_sample
chr4	1768241	1770142	Module_27505	TMEM129	12h_sample
chr4	1768241	1770142	Module_27505	LETM1	0h_sample
chr4	1768241	1770142	Module_27505	LETM1	24h_sample
chr4	1871845	1874063	Module_27514	LETM1	3h_sample
chr4	1871845	1874063	Module_27514	LETM1	72h_sample
chr4	1871845	1874063	Module_27514	LETM1	6h_sample
chr4	1871845	1874063	Module_27514	LETM1	48h_sample
chr4	1871845	1874063	Module_27514	LETM1	24h_sample
chr4	1871845	1874063	Module_27514	LETM1	0h_sample
chr4	1871845	1874063	Module_27514	LETM1	12h_sample
chr19	1864125	1864671	Module_17447	ATP8B3	24h_sample
chr19	1864125	1864671	Module_17447	KLF16	24h_sample
chr19	1864125	1864671	Module_17447	KLF16	72h_sample
chr19	1864306	1865314	Module_17448	KLF16	0h_sample
chr19	1864306	1865314	Module_17448	KLF16	3h_sample
chr19	1864306	1865314	Module_17448	KLF16	48h_sample
chr19	1864306	1865314	Module_17448	KLF16	6h_sample
chr19	1864306	1865314	Module_17448	KLF16	12h_sample
chr19	1875902	1876664	Module_17449	KLF16	12h_sample
chr19	1875902	1876664	Module_17449	KLF16	3h_sample
chr19	1875902	1876664	Module_17449	KLF16	72h_sample
chr19	1875902	1876664	Module_17449	KLF16	48h_sample
chr19	1875902	1876664	Module_17449	KLF16	0h_sample
