Chrom	Start	End	Module
chr6	392845	393838	Module_31177
chr11	396380	397348	Module_5481
chr5	398630	399130	Module_29145
chr5	399692	400467	Module_29146
chr20	401327	402268	Module_22238
chr11	406649	408075	Module_5482
chr6	408655	409159	Module_31178
chr16	409275	409775	Module_12862
chr11	409305	410251	Module_5483
chr16	409991	410491	Module_12863
chr16	411928	412619	Module_12864
chr19	412173	412673	Module_17292
chr16	412181	412735	Module_12865
chr19	412290	412790	Module_17293
chr16	412938	413438	Module_12866
chr16	413879	414379	Module_12867
chr20	414808	415679	Module_22239
chr5	415633	416319	Module_29147
chr11	415822	416861	Module_5484
chr19	417508	418220	Module_17294
chr8	417834	418685	Module_35467
chr16	421533	422033	Module_12868
chr16	429001	429542	Module_12869
chr8	429085	429585	Module_35468
chr16	429089	429603	Module_12870
chr8	429109	429609	Module_35469
chr16	429117	429617	Module_12871
chr5	429151	429651	Module_29148
chr11	429944	430514	Module_5485
chr5	430706	431642	Module_29149
chr16	433610	434292	Module_12872
chr5	436223	437018	Module_29150
chr8	437903	438403	Module_35470
chr16	441597	442320	Module_12873
chr16	447747	448350	Module_12874
chr11	448047	448565	Module_5486
chr12	451971	452613	Module_7590
chr5	454969	455469	Module_29151
chr16	455062	455562	Module_12875
chr11	456456	457077	Module_5487
chr18	456938	457438	Module_16504
chr19	459848	460489	Module_17295
chr19	461579	462364	Module_17296
chr18	463782	464282	Module_16505
chr16	464509	465009	Module_12876
chr5	464887	465387	Module_29152
chr2	467963	468463	Module_19428
chr9	469609	470684	Module_37083
chr19	470490	470990	Module_17297
chr16	476256	476756	Module_12877
chr18	480507	481007	Module_16506
chr8	480519	481053	Module_35471
chr8	483318	483818	Module_35472
chr5	484738	486258	Module_29153
chr8	486826	487456	Module_35473
chr19	488543	489511	Module_17298
chr5	489060	489560	Module_29154
chr19	489162	489662	Module_17299
chr5	490794	492153	Module_29155
chr5	492570	493122	Module_29156
chr5	493511	494011	Module_29157
chr8	493891	494463	Module_35474
chr5	494110	494610	Module_29158
chr8	494397	495041	Module_35475
chr19	495233	495935	Module_17300
chr5	496072	496572	Module_29159
chr19	497648	498917	Module_17301
chr5	502008	502508	Module_29160
chr5	504497	505078	Module_29161
chr5	505974	506549	Module_29162
chr19	510495	511116	Module_17302
chr19	512677	513232	Module_17303
chr20	515077	515577	Module_22240
chr11	518605	519170	Module_5488
chr19	518755	519434	Module_17304
chr8	521545	522045	Module_35476
chr7	524018	524518	Module_33291
chr19	525116	525616	Module_17305
chr19	532552	533077	Module_17306
chr16	533429	533929	Module_12878
chr20	542254	542754	Module_22241
chr8	542474	542974	Module_35477
chr11	544119	544619	Module_5489
chr6	551362	551913	Module_31179
chr20	552337	552956	Module_22242
chr7	552517	553017	Module_33292
chr7	554277	555135	Module_33293
chr11	554642	555156	Module_5490
chr20	554774	555274	Module_22243
chr11	554911	555424	Module_5491
chr20	554969	555469	Module_22244
chr11	554973	555473	Module_5492
chr20	554987	555487	Module_22245
chr11	554994	555494	Module_5493
chr20	555131	555670	Module_22246
chr11	555172	555672	Module_5494
chr7	555185	555685	Module_33294
chr11	555196	555696	Module_5495
chr7	555210	555710	Module_33295
chr11	555222	555722	Module_5496
chr7	557636	558136	Module_33296
chr19	558740	559240	Module_17307
chr7	560826	561326	Module_33297
chr20	564860	565509	Module_22247
chr4	569032	569532	Module_27434
chr4	570166	570684	Module_27435
chr4	570988	571488	Module_27436
chr19	571105	571640	Module_17308
chr16	571254	571754	Module_12879
chr19	571295	571795	Module_17309
chr11	571315	571815	Module_5497
chr4	571330	571830	Module_27437
chr16	571340	571840	Module_12880
chr11	571340	571840	Module_5498
chr16	571419	572023	Module_12881
chr7	572029	572529	Module_33298
chr19	573085	573585	Module_17310
chr18	573349	573849	Module_16507
chr18	574712	575260	Module_16508
chr20	576348	576848	Module_22248
chr19	577430	577930	Module_17311
chr7	577622	578219	Module_33299
chr7	578396	579035	Module_33300
chr5	580026	580526	Module_29163
chr19	582196	582760	Module_17312
chr12	582893	583393	Module_7591
chr20	583057	583557	Module_22249
chr16	583328	584033	Module_12882
chr19	584218	584804	Module_17313
chr20	584904	585404	Module_22250
chr17	584960	585460	Module_14408
chr12	586175	586675	Module_7592
chr19	588021	588731	Module_17314
chr12	590178	590678	Module_7593
chr20	592058	592558	Module_22251
chr5	592096	592596	Module_29164
chr20	592148	592648	Module_22252
chr4	596301	597048	Module_27438
chr20	601892	602392	Module_22253
chr16	609341	609841	Module_12883
chr11	611052	611552	Module_5499
chr7	612029	612554	Module_33301
chr11	613245	614114	Module_5500
chr12	618796	619809	Module_7594
chr20	623050	623655	Module_22254
chr20	625900	626592	Module_22255
chr11	626123	626623	Module_5501
chr20	626125	626625	Module_22256
chr16	626458	627150	Module_12884
chr2	627010	627514	Module_19429
chr19	627998	628604	Module_17315
chr16	628876	629413	Module_12885
chr17	629578	630225	Module_14409
chr19	632430	633042	Module_17316
chr16	633597	634336	Module_12886
chr18	634566	635627	Module_16509
chr8	637491	638269	Module_35478
chr11	638116	639186	Module_5502
chr16	638739	639239	Module_12887
chr11	638778	639435	Module_5503
chr20	639067	639642	Module_22257
chr11	639230	639730	Module_5504
chr20	639306	640097	Module_22258
chr19	640458	640958	Module_17317
chr4	642329	642847	Module_27439
chr20	642394	643050	Module_22259
chr20	644608	645108	Module_22260
chr4	645096	645596	Module_27440
chr20	648031	648531	Module_22261
chr12	651025	651525	Module_7595
chr12	651941	652441	Module_7596
chr20	653356	653856	Module_22262
chr4	657078	657958	Module_27441
chr17	659136	659636	Module_14410
chr4	659821	660321	Module_27442
chr6	659906	660627	Module_31180
chr4	660127	660627	Module_27443
chr6	660128	660709	Module_31181
chr2	660524	661386	Module_19430
chr19	662153	662653	Module_17318
chr19	664756	665432	Module_17319
chr18	665963	666463	Module_16510
chr5	669101	669601	Module_29165
chr20	669560	670060	Module_22263
chr10	670020	670884	Module_3777
chr19	670393	670893	Module_17320
chr10	670408	670908	Module_3778
chr19	670432	670983	Module_17321
chr10	670523	671570	Module_3779
chr5	671626	672260	Module_29166
chr10	671891	672391	Module_3780
chr16	672224	672781	Module_12888
chr8	674111	674639	Module_35479
chr4	674200	674700	Module_27444
chr8	674263	674782	Module_35480
chr4	674565	675087	Module_27445
chr6	674635	675268	Module_31182
chr4	674873	676042	Module_27446
chr2	676061	676860	Module_19431
chr4	677529	678085	Module_27447
chr12	678704	679512	Module_7597
chr16	679415	679915	Module_12889
chr12	679430	680081	Module_7598
chr19	679622	680122	Module_17322
chr16	679648	680155	Module_12890
chr12	679658	680160	Module_7599
chr19	679662	680162	Module_17323
chr12	679709	680240	Module_7600
chr19	679824	680361	Module_17324
chr12	680099	680599	Module_7601
chr6	680115	680615	Module_31183
chr19	680115	680615	Module_17325
chr6	680162	680772	Module_31184
chr19	680423	681134	Module_17326
chr4	680807	681307	Module_27448
chr6	683812	684411	Module_31185
chr6	685009	685509	Module_31186
chr12	685166	685902	Module_7602
chr18	686173	686898	Module_16511
chr6	686420	686920	Module_31187
chr18	686423	686939	Module_16512
chr4	686623	687123	Module_27449
chr16	686921	687745	Module_12891
chr10	688035	688535	Module_3781
chr8	689116	689616	Module_35481
chr2	691964	692464	Module_19432
chr16	692420	692920	Module_12892
chr17	693219	695221	Module_14411
chr18	697688	698188	Module_16513
chr17	698036	698868	Module_14412
chr6	701206	702226	Module_31188
chr8	702025	702668	Module_35482
chr19	703446	704642	Module_17327
chr7	704820	705821	Module_33302
chr11	706685	707447	Module_5505
chr10	707546	708046	Module_3782
chr17	707813	708380	Module_14413
chr6	707888	708388	Module_31189
chr17	707927	708427	Module_14414
chr20	708934	709434	Module_22264
chr11	709215	709715	Module_5506
chr11	710165	710833	Module_5507
chr16	710458	710958	Module_12893
chr11	710472	710972	Module_5508
chr16	710490	710991	Module_12894
chr6	710607	711129	Module_31190
chr11	710629	711129	Module_5509
chr6	710630	711171	Module_31191
chr16	710727	711227	Module_12895
chr6	710730	711230	Module_31192
chr16	710734	711239	Module_12896
chr6	710813	711313	Module_31193
chr16	710993	711496	Module_12897
chr6	711111	711611	Module_31194
chr18	711403	711958	Module_16514
chr2	715963	716463	Module_19433
chr11	720371	721057	Module_5510
chr19	720601	721158	Module_17328
chr11	720688	721188	Module_5511
chr12	723650	724150	Module_7603
chr16	724506	725006	Module_12898
chr11	725610	726833	Module_5512
chr12	726520	727020	Module_7604
chr16	727292	727831	Module_12899
chr11	727804	728469	Module_5513
chr2	729363	729912	Module_19434
chr12	732741	733413	Module_7605
chr10	734568	735107	Module_3783
chr16	735879	736379	Module_12900
chr12	741196	741985	Module_7606
chr11	743674	744222	Module_5514
chr16	743792	744305	Module_12901
chr11	743815	744315	Module_5515
chr16	743819	744319	Module_12902
chr11	743824	744333	Module_5516
chr16	743876	744672	Module_12903
chr16	744979	745793	Module_12904
chr16	750611	751111	Module_12905
chr7	750620	751120	Module_33303
chr7	751626	752275	Module_33304
chr12	751784	752284	Module_7607
chr7	751802	752302	Module_33305
chr12	751827	752392	Module_7608
chr7	752063	752563	Module_33306
chr12	752074	752574	Module_7609
chr7	752342	753021	Module_33307
chr7	753391	754386	Module_33308
chr5	758138	758638	Module_29167
chr4	759386	759886	Module_27450
chr16	759835	760335	Module_12906
chr4	760805	761305	Module_27451
chr16	761592	762235	Module_12907
chr11	763210	763710	Module_5517
chr11	765171	765671	Module_5518
chr16	765867	766565	Module_12908
chr4	766657	767157	Module_27452
chr4	767705	768205	Module_27453
chr7	771656	772156	Module_33309
chr2	774356	774885	Module_19435
chr12	776578	777078	Module_7610
chr16	778075	778858	Module_12909
chr4	778848	779535	Module_27454
chr4	780737	781237	Module_27455
chr19	782098	782770	Module_17329
chr11	782271	782771	Module_5519
chr19	782299	782988	Module_17330
chr11	783379	783959	Module_5520
chr5	784675	785207	Module_29168
chr4	785703	786389	Module_27456
chr4	787165	788188	Module_27457
chr19	788460	788960	Module_17331
chr4	788602	789406	Module_27458
chr19	788988	789515	Module_17332
chr11	789109	789609	Module_5521
chr19	789149	789728	Module_17333
chr11	790663	791255	Module_5522
chr1	793705	794205	Module_1
chr16	793946	794491	Module_12910
chr16	795552	796303	Module_12911
chr20	796440	797067	Module_22265
chr11	798051	798572	Module_5523
chr19	798921	799469	Module_17334
chr16	801815	802420	Module_12912
chr20	803482	803982	Module_22266
chr19	810982	811482	Module_17335
chr19	813287	813787	Module_17336
chr7	813779	814399	Module_33310
chr19	814368	814868	Module_17337
chr16	818522	819022	Module_12913
chr16	819197	819744	Module_12914
chr11	819605	820589	Module_5524
chr20	821462	822295	Module_22267
chr20	822525	823231	Module_22268
chr19	823474	824223	Module_17338
chr20	825035	825675	Module_22269
chr20	825925	826425	Module_22270
chr11	826947	827724	Module_5525
chr20	828652	829152	Module_22271
chr11	829831	830624	Module_5526
chr18	830275	830851	Module_16515
chr10	830563	831255	Module_3784
chr12	831488	832011	Module_7611
chr18	831986	832551	Module_16516
chr16	832605	833105	Module_12915
chr10	834853	835599	Module_3785
chr16	835385	836026	Module_12916
chr18	839113	839760	Module_16517
chr8	841488	841988	Module_35483
chr7	841576	842076	Module_33311
chr19	843361	844205	Module_17339
chr11	844039	844668	Module_5527
chr16	844275	844775	Module_12917
chr11	844276	844776	Module_5528
chr16	846998	847498	Module_12918
chr11	848179	848903	Module_5529
chr11	849489	850139	Module_5530
chr5	849911	850497	Module_29169
chr7	850029	850567	Module_33312
chr11	850420	851730	Module_5531
chr7	852904	853405	Module_33313
chr17	852933	853518	Module_14415
chr11	854692	855192	Module_5532
chr17	854773	855325	Module_14416
chr16	857447	858137	Module_12919
chr5	858817	859317	Module_29170
chr1	859217	859717	Module_2
chr12	860233	860788	Module_7612
chr5	861754	862254	Module_29171
chr2	861965	862465	Module_19436
chr7	862221	862921	Module_33314
chr19	862736	863236	Module_17340
chr11	862960	863460	Module_5533
chr12	862989	863621	Module_7613
chr11	863136	863723	Module_5534
chr16	863424	863957	Module_12920
chr5	863827	864327	Module_29172
chr7	865686	866226	Module_33315
chr17	865892	866445	Module_14417
chr7	865991	866491	Module_33316
chr17	867995	868495	Module_14418
chr17	873102	873602	Module_14419
chr1	875591	876091	Module_3
chr17	876192	876692	Module_14420
chr1	877007	878408	Module_4
chr2	879951	880498	Module_19437
chr17	881621	882207	Module_14421
chr12	883112	883612	Module_7614
chr2	883165	883865	Module_19438
chr17	884251	884751	Module_14422
chr5	884845	885345	Module_29173
chr2	888905	889439	Module_19439
chr5	891444	891944	Module_29174
chr2	893918	894419	Module_19440
chr19	897414	897914	Module_17341
chr11	898082	898582	Module_5535
chr2	898987	899487	Module_19441
chr2	900023	900523	Module_19442
chr19	900183	901340	Module_17342
chr5	902895	903395	Module_29175
chr19	903030	903600	Module_17343
chr1	905794	906492	Module_5
chr2	907297	907797	Module_19443
chr17	907493	908653	Module_14423
chr1	911218	912012	Module_6
chr19	911584	912117	Module_17344
chr5	912742	913311	Module_29176
chr7	912818	913400	Module_33317
chr11	918983	919571	Module_5536
chr19	919138	919638	Module_17345
chr1	919423	919923	Module_7
chr2	919669	920169	Module_19444
chr19	919705	920418	Module_17346
chr4	920111	920611	Module_27459
chr2	920808	921409	Module_19445
chr7	924854	925354	Module_33318
chr19	924906	925406	Module_17347
chr5	926706	927461	Module_29177
chr19	926961	927461	Module_17348
chr5	926961	927461	Module_29178
chr19	927006	927659	Module_17349
chr2	928286	929120	Module_19446
chr2	929538	930038	Module_19447
chr19	933119	933738	Module_17350
chr2	933617	934117	Module_19448
chr11	934099	934599	Module_5537
chr1	934227	934736	Module_8
chr11	934250	934750	Module_5538
chr1	934263	934837	Module_9
chr11	934379	934913	Module_5539
chr17	934784	935760	Module_14424
chr1	936830	937500	Module_10
chr11	937849	938351	Module_5540
chr7	938773	939273	Module_33319
chr4	938998	939692	Module_27460
chr4	940099	940599	Module_27461
chr11	940494	941097	Module_5541
chr1	940625	941125	Module_11
chr11	940675	941175	Module_5542
chr1	940746	941246	Module_12
chr7	940826	941609	Module_33320
chr1	941707	942207	Module_13
chr11	944674	945272	Module_5543
chr4	945225	945725	Module_27462
chr2	945467	945967	Module_19449
chr11	946018	946637	Module_5544
chr7	948206	948706	Module_33321
chr1	949460	950191	Module_14
chr1	950696	951196	Module_15
chr2	951862	952513	Module_19450
chr19	953170	953670	Module_17351
chr2	955760	956260	Module_19451
chr19	956544	957316	Module_17352
chr2	959482	959982	Module_19452
chr1	959811	960696	Module_16
chr4	960465	960965	Module_27463
chr4	961298	961998	Module_27464
chr1	961612	962112	Module_17
chr4	962500	963031	Module_27465
chr1	966723	967223	Module_18
chr1	968328	968911	Module_19
chr1	969059	969937	Module_20
chr10	970220	970720	Module_3786
chr9	971943	972487	Module_37084
chr2	974856	975476	Module_19453
chr1	975894	977033	Module_21
chr10	976562	977062	Module_3787
chr19	976591	977091	Module_17353
chr10	976604	977136	Module_3788
chr19	976757	977257	Module_17354
chr4	978712	979321	Module_27466
chr19	979320	979820	Module_17355
chr19	980265	981028	Module_17356
chr5	982436	982936	Module_29179
chr19	982495	982995	Module_17357
chr5	982497	983010	Module_29180
chr19	982532	983077	Module_17358
chr5	982583	983083	Module_29181
chr19	982591	983091	Module_17359
chr7	984949	985787	Module_33322
chr2	985530	986030	Module_19454
chr19	989481	989981	Module_17360
chr5	990057	990671	Module_29182
chr4	990899	992035	Module_27467
chr10	991600	992100	Module_3789
chr19	991776	992276	Module_17361
chr7	993207	993795	Module_33323
chr1	994497	995278	Module_22
chr4	995850	996601	Module_27468
chr19	996172	996672	Module_17362
chr4	996686	997363	Module_27469
chr7	997282	997926	Module_33324
chr7	1002780	1003280	Module_33325
chr4	1002801	1003468	Module_27470
chr7	1002977	1003477	Module_33326
chr4	1003006	1004387	Module_27471
chr1	1004186	1004933	Module_23
chr5	1004494	1004994	Module_29183
chr1	1004507	1005007	Module_24
chr4	1004694	1005233	Module_27472
chr5	1004735	1005239	Module_29184
chr4	1004827	1005327	Module_27473
chr5	1004927	1005427	Module_29185
chr4	1004982	1005747	Module_27474
chr5	1007535	1008035	Module_29186
chr4	1008394	1008894	Module_27475
chr5	1011184	1011684	Module_29187
chr4	1011243	1011743	Module_27476
chr4	1013488	1013988	Module_27477
chr1	1014802	1015922	Module_25
chr19	1015856	1016936	Module_17363
chr7	1016822	1017322	Module_33327
chr10	1018561	1019086	Module_3790
chr5	1019245	1019745	Module_29188
chr7	1019417	1020121	Module_33328
chr10	1020105	1020605	Module_3791
chr4	1020709	1021209	Module_27478
chr5	1021657	1022226	Module_29189
chr16	1022433	1022933	Module_12921
chr4	1023766	1024423	Module_27479
chr7	1024290	1025003	Module_33329
chr7	1026870	1027370	Module_33330
chr19	1027043	1027740	Module_17364
chr7	1028075	1028575	Module_33331
chr19	1028153	1028739	Module_17365
chr16	1030068	1030568	Module_12922
chr5	1030469	1030969	Module_29190
chr16	1030776	1031276	Module_12923
chr7	1032449	1033318	Module_33332
chr4	1033070	1033570	Module_27480
chr16	1033274	1033774	Module_12924
chr4	1035145	1035645	Module_27481
chr4	1037365	1037958	Module_27482
chr7	1040525	1041025	Module_33333
chr19	1040841	1041486	Module_17366
chr19	1044963	1045539	Module_17367
chr1	1057259	1058088	Module_26
chr19	1062141	1062931	Module_17368
chr1	1064271	1064771	Module_27
chr19	1064381	1065398	Module_17369
chr7	1067139	1068220	Module_33334
chr12	1067790	1068290	Module_7615
chr7	1067826	1068326	Module_33335
chr1	1067931	1068431	Module_28
chr19	1070662	1071730	Module_17370
chr1	1077188	1078182	Module_29
chr1	1079714	1080342	Module_30
chr10	1081198	1081698	Module_3792
chr19	1082306	1082991	Module_17371
chr10	1082538	1083038	Module_3793
chr17	1082880	1083380	Module_14425
chr10	1082888	1083388	Module_3794
chr17	1083058	1083886	Module_14426
chr7	1083849	1084583	Module_33336
chr4	1085951	1086538	Module_27483
chr20	1088916	1089650	Module_22272
chr17	1090224	1090839	Module_14427
chr7	1092477	1092977	Module_33337
chr1	1092479	1092979	Module_31
chr7	1092535	1093160	Module_33338
chr1	1092732	1093852	Module_32
chr5	1094601	1095176	Module_29191
chr5	1097579	1098079	Module_29192
chr1	1097785	1098511	Module_33
chr4	1098220	1099298	Module_27484
chr7	1098841	1099364	Module_33339
chr5	1098913	1099413	Module_29193
chr7	1099547	1100047	Module_33340
chr5	1099823	1100323	Module_29194
chr7	1099907	1100407	Module_33341
chr1	1099928	1100428	Module_34
chr5	1099931	1100431	Module_29195
chr1	1099942	1100442	Module_35
chr5	1099979	1100479	Module_29196
chr7	1099984	1100484	Module_33342
chr1	1099988	1100520	Module_36
chr7	1100031	1100531	Module_33343
chr5	1100068	1100568	Module_29197
chr7	1100178	1100678	Module_33344
chr5	1100417	1100917	Module_29198
chr5	1101098	1101640	Module_29199
chr5	1102305	1103059	Module_29200
chr7	1105172	1105953	Module_33345
chr5	1105663	1106163	Module_29201
chr17	1106717	1107250	Module_14428
chr5	1106893	1107984	Module_29202
chr1	1108937	1109645	Module_37
chr19	1111946	1112769	Module_17372
chr7	1112713	1113213	Module_33346
chr12	1112718	1113238	Module_7616
chr19	1113212	1113840	Module_17373
chr7	1114149	1114895	Module_33347
chr7	1116024	1116524	Module_33348
chr5	1117678	1118178	Module_29203
chr7	1118239	1118850	Module_33349
chr5	1118767	1119560	Module_29204
chr7	1120921	1121421	Module_33350
chr4	1124265	1124915	Module_27485
chr7	1127524	1128273	Module_33351
chr5	1130449	1131361	Module_29205
chr17	1131111	1132224	Module_14429
chr19	1131888	1132517	Module_17374
chr5	1133476	1133976	Module_29206
chr1	1136410	1137199	Module_38
chr5	1140235	1140942	Module_29207
chr19	1146488	1146988	Module_17375
chr16	1152933	1153433	Module_12925
chr10	1156042	1156542	Module_3795
chr20	1158188	1158712	Module_22273
chr4	1160973	1161673	Module_27486
chr17	1162495	1163075	Module_14430
chr7	1163012	1163864	Module_33352
chr12	1165485	1166045	Module_7617
chr20	1165639	1166672	Module_22274
chr17	1171247	1171958	Module_14431
chr19	1171520	1172231	Module_17376
chr1	1172824	1173324	Module_39
chr19	1172901	1173403	Module_17377
chr1	1172920	1173420	Module_40
chr1	1173625	1175673	Module_41
chr1	1176423	1176923	Module_42
chr7	1176482	1176982	Module_33353
chr1	1177460	1177960	Module_43
chr19	1180325	1180881	Module_17378
chr19	1181508	1182008	Module_17379
chr1	1185957	1186457	Module_44
chr4	1188093	1188593	Module_27487
chr20	1193404	1193904	Module_22275
chr1	1193489	1193989	Module_45
chr16	1193656	1194156	Module_12926
chr20	1193664	1194164	Module_22276
chr1	1193798	1194298	Module_46
chr19	1194362	1194898	Module_17380
chr16	1195155	1195937	Module_12927
chr16	1196128	1196831	Module_12928
chr1	1200350	1200850	Module_47
chr16	1201912	1202412	Module_12929
chr16	1203862	1204362	Module_12930
chr16	1208532	1209069	Module_12931
chr7	1209341	1209945	Module_33354
chr16	1209446	1209946	Module_12932
chr7	1209461	1210081	Module_33355
chr16	1209946	1210446	Module_12933
chr19	1211473	1212120	Module_17381
chr7	1215517	1216311	Module_33356
chr1	1216886	1217386	Module_48
chr1	1218929	1219429	Module_49
chr16	1219658	1220158	Module_12934
chr1	1220153	1220780	Module_50
chr1	1220946	1221446	Module_51
chr7	1222432	1223152	Module_33357
chr4	1227505	1228005	Module_27488
chr1	1229057	1229669	Module_52
chr1	1234253	1234821	Module_53
chr19	1236806	1237306	Module_17382
chr4	1236986	1237486	Module_27489
chr1	1237123	1237623	Module_54
chr1	1239961	1240461	Module_55
chr19	1240038	1240550	Module_17383
chr1	1240084	1240597	Module_56
chr19	1240099	1240599	Module_17384
chr1	1240115	1240620	Module_57
chr19	1240120	1240620	Module_17385
chr1	1240120	1240625	Module_58
chr19	1240133	1240634	Module_17386
chr4	1241808	1242308	Module_27490
chr19	1244319	1244819	Module_17387
chr1	1244560	1245226	Module_59
