,statistic,pval,fdr,df.test,df.dna,df.rna.full,df.rna.red
controls_seq47_[chr20:21216291-21216461],17.67835787,0.007088334,0.024397055,6,98,18,12
controls_seq48_[chr20:30192029-30192199],40.00914457,4.54E-07,4.14E-06,6,98,18,12
controls_seq49_[chr21:34291162-34291332],6.469693612,0.372678721,0.537529026,6,80,18,12
controls_seq5_[chr1:167297662-167297832],2.212749,0.899129201,0.937642929,6,84,18,12
controls_seq50_[chr22:46241068-46241238],4.429918587,0.618705298,0.748817157,6,75,18,12
controls_seq51_[chr3:28034635-28034805],6.870801669,0.332960928,0.497201745,6,83,18,12
controls_seq52_[chr3:62351383-62351553],6.114527258,0.410483824,0.575238772,6,79,18,12
controls_seq53_[chr3:112813463-112813633],4.74790986,0.576528003,0.714668038,6,81,18,12
controls_seq54_[chr3:147564868-147565038],3.137848458,0.791357196,0.872228205,6,68,18,12
controls_seq55_[chr3:147652769-147652939],7.564846586,0.271747445,0.430913805,6,87,18,12
controls_seq56_[chr3:193490302-193490472],8.211473455,0.223016067,0.379083838,6,99,18,12
controls_seq57_[chr3:193930097-193930267],5.616337612,0.467508717,0.624411731,6,85,18,12
controls_seq58_[chr3:193930685-193930855],6.925250243,0.327815412,0.491169998,6,93,18,12
controls_seq59_[chr4:54881970-54882140],6.079468225,0.414347184,0.578522484,6,76,18,12
controls_seq6_[chr1:204424333-204424503],7.796836955,0.253368656,0.412494667,6,97,18,12
controls_seq60_[chr4:109256362-109256532],3.176458187,0.78639589,0.869778197,6,86,18,12
controls_seq61_[chr4:113442800-113442970],23.44539174,0.000660239,0.003139922,6,82,18,12
controls_seq62_[chr5:2208187-2208357],10.26667197,0.113861829,0.234049316,6,99,18,12
controls_seq63_[chr5:50391415-50391585],7.842392461,0.249878982,0.409356257,6,85,18,12
controls_seq64_[chr5:50468812-50468982],13.15927475,0.040575233,0.104625298,6,79,18,12
controls_seq65_[chr5:77143852-77144022],7.289483244,0.294903639,0.455697966,6,80,18,12
controls_seq66_[chr5:87083609-87083779],7.840837612,0.249997448,0.409356257,6,72,18,12
controls_seq67_[chr5:87240473-87240643],7.496570372,0.277352117,0.437558449,6,76,18,12
controls_seq68_[chr5:91929830-91930000],6.237853433,0.39708002,0.561774389,6,78,18,12
controls_seq69_[chr5:92635745-92635915],4.48206187,0.61173332,0.744007872,6,82,18,12
controls_seq7_[chr10:79937401-79937571],19.55127967,0.003327162,0.012845738,6,99,18,12
controls_seq70_[chr5:124709070-124709240],9.974362775,0.125735819,0.250906533,6,69,18,12
controls_seq71_[chr6:3351325-3351495],9.262800428,0.159328849,0.298550807,6,82,18,12
controls_seq72_[chr6:9096186-9096356],1.876187948,0.930725965,0.957687899,6,89,18,12
controls_seq73_[chr6:19720029-19720199],26.21900031,0.000202668,0.001110922,6,99,18,12
controls_seq74_[chr6:20868943-20869113],2.45453935,0.87352034,0.921242354,6,59,18,12
controls_seq75_[chr6:23180868-23181038],13.03785634,0.042438709,0.108027978,6,88,18,12
controls_seq76_[chr6:23181104-23181274],10.96408698,0.08949273,0.19509708,6,75,18,12
controls_seq77_[chr6:99090064-99090234],4.655867724,0.588645034,0.723650379,6,78,18,12
controls_seq78_[chr6:111873660-111873830],15.23688964,0.01849214,0.054615367,6,84,18,12
controls_seq79_[chr6:112824500-112824670],10.09434799,0.120734638,0.244590933,6,84,18,12
controls_seq8_[chr10:102245394-102245564],8.272469653,0.218813389,0.374240717,6,71,18,12
controls_seq80_[chr6:140209850-140210020],4.641227429,0.590579873,0.724691286,6,76,18,12
controls_seq81_[chr6:163277965-163278135],20.32566508,0.002422859,0.009809264,6,89,18,12
controls_seq82_[chr6:170747637-170747807],15.15176735,0.019108588,0.056063082,6,99,18,12
controls_seq83_[chr7:9271437-9271607],2.589262181,0.858347099,0.914288953,6,80,18,12
controls_seq84_[chr7:20832972-20833142],8.128710256,0.228824548,0.385327811,6,98,18,12
controls_seq85_[chr7:21081379-21081549],5.62512575,0.466464391,0.624139195,6,88,18,12
controls_seq86_[chr7:25792750-25792920],3.394899212,0.757896302,0.847978055,6,80,18,12
controls_seq87_[chr7:115452930-115453100],26.68008046,0.000166216,0.000944133,6,86,18,12
controls_seq88_[chr7:121969307-121969477],10.82184052,0.094041218,0.203221104,6,98,18,12
controls_seq89_[chr8:28371432-28371602],4.257706174,0.641846381,0.767794682,6,83,18,12
controls_seq9_[chr10:118854514-118854684],26.113996,0.000212014,0.00115739,6,91,18,12
controls_seq90_[chr8:36957782-36957952],7.814496469,0.25201128,0.411119443,6,95,18,12
controls_seq91_[chr8:53167568-53167738],3.976245601,0.679891187,0.794050908,6,79,18,12
controls_seq92_[chr8:129988026-129988196],13.38314696,0.037339335,0.098487117,6,99,18,12
controls_seq93_[chr9:974108-974278],3.747963421,0.710739297,0.815206271,6,86,18,12
controls_seq94_[chr9:2241592-2241762],16.14550011,0.012993954,0.040868823,6,98,18,12
controls_seq95_[chr9:81053192-81053362],16.2353554,0.012544947,0.039738096,6,75,18,12
controls_seq96_[chr9:81054570-81054740],11.8740504,0.064838294,0.151516855,6,98,18,12
controls_seq97_[chr9:81055199-81055369],14.59750738,0.023629146,0.067831945,6,98,18,12
controls_seq98_[chr9:82226038-82226208],6.017487054,0.421234023,0.58381684,6,82,18,12
controls_seq99_[chr9:82277708-82277878],44.00840137,7.36E-08,7.57E-07,6,84,18,12
scrambled_seq1007_[chr21:28742520-28742690],16.0077149,0.013712619,0.042526678,6,76,18,12
scrambled_seq1015_[chr21:41079421-41079591],9.920880712,0.12802369,0.253719011,6,83,18,12
scrambled_seq1023_[chr22:24298842-24299012],6.579090453,0.361530409,0.528314322,6,98,18,12
scrambled_seq1024_[chr22:25087330-25087500],2.982685503,0.811016829,0.883210263,6,97,18,12
scrambled_seq1025_[chr22:27754650-27754820],0.822311943,0.991462032,0.993532669,6,80,18,12
scrambled_seq104_[chr1:150613939-150614109],1.418981459,0.964693577,0.977536587,6,73,18,12
scrambled_seq1059_[chr3:30591181-30591351],6.634281566,0.355995729,0.5228074,6,87,18,12
scrambled_seq1065_[chr3:47932191-47932361],11.63994356,0.07050044,0.160798948,6,83,18,12
scrambled_seq1081_[chr3:75303889-75304059],4.417720189,0.620338941,0.749810771,6,88,18,12
scrambled_seq1085_[chr3:84886290-84886460],8.095708599,0.231174997,0.388191062,6,70,18,12
scrambled_seq1086_[chr3:106549299-106549469],3.356357588,0.762972125,0.851511412,6,80,18,12
scrambled_seq1111_[chr3:173950555-173950725],7.58177418,0.270371746,0.43028187,6,76,18,12
scrambled_seq1115_[chr3:184321941-184322111],3.48716307,0.745676803,0.838626611,6,98,18,12
scrambled_seq1126_[chr3:193693069-193693239],8.327996248,0.215044693,0.370076914,6,84,18,12
scrambled_seq1157_[chr4:79473653-79473823],2.905761326,0.820578485,0.888987835,6,88,18,12
scrambled_seq1166_[chr4:105413755-105413925],2.961222031,0.813697916,0.884771938,6,82,18,12
scrambled_seq1171_[chr4:114213714-114213884],7.453704788,0.280916811,0.440615688,6,98,18,12
scrambled_seq1178_[chr4:129723993-129724163],2.358054109,0.884003177,0.928255603,6,81,18,12
scrambled_seq1198_[chr4:185537876-185538046],6.475204572,0.372111476,0.537176646,6,82,18,12
scrambled_seq1201_[chr4:186239987-186240157],14.58530831,0.023739279,0.068074746,6,83,18,12
scrambled_seq1235_[chr5:59005280-59005450],12.28030323,0.055999876,0.135498336,6,77,18,12
scrambled_seq1241_[chr5:75820062-75820232],10.28202306,0.113266877,0.233222238,6,80,18,12
scrambled_seq1258_[chr5:116095916-116096086],6.28984938,0.391516452,0.556563408,6,56,18,12
scrambled_seq1267_[chr5:133875683-133875853],16.63041153,0.010741953,0.034813337,6,99,18,12
scrambled_seq128_[chr1:183372794-183372964],9.518157897,0.146465387,0.28050596,6,69,18,12
scrambled_seq1283_[chr5:150767685-150767855],9.886919586,0.129495567,0.255537919,6,98,18,12
scrambled_seq1293_[chr5:172983462-172983632],13.18202012,0.04023481,0.104266084,6,88,18,12
scrambled_seq1296_[chr5:174988244-174988414],1.735461781,0.942350853,0.963962552,6,72,18,12
scrambled_seq130_[chr1:185881815-185881985],4.760315583,0.574901338,0.714003339,6,89,18,12
scrambled_seq1313_[chr6:19312146-19312316],4.082262093,0.665545006,0.784675077,6,69,18,12
scrambled_seq132_[chr1:200331580-200331750],5.631084418,0.465757054,0.623505926,6,85,18,12
scrambled_seq1326_[chr6:41139597-41139767],16.09117546,0.013272869,0.041501084,6,96,18,12
scrambled_seq1328_[chr6:42225429-42225599],5.298925769,0.506084253,0.656120787,6,81,18,12
scrambled_seq1336_[chr6:68749009-68749179],10.48082357,0.105809808,0.223534758,6,97,18,12
scrambled_seq1338_[chr6:74059125-74059295],2.663438849,0.849746556,0.9083968,6,90,18,12
scrambled_seq1350_[chr6:98484340-98484510],7.558582647,0.272257906,0.431466426,6,83,18,12
scrambled_seq1352_[chr6:102164822-102164992],1.801672846,0.937005269,0.960611201,6,82,18,12
scrambled_seq1361_[chr6:137278019-137278189],21.61976372,0.001418704,0.006175535,6,83,18,12
scrambled_seq1390_[chr7:4079727-4079897],4.302571375,0.635802984,0.762620059,6,87,18,12
scrambled_seq1393_[chr7:5463625-5463795],9.624400928,0.141386642,0.272937692,6,99,18,12
scrambled_seq1396_[chr7:8402751-8402921],9.538075442,0.145501278,0.279463161,6,75,18,12
scrambled_seq140_[chr1:205414111-205414281],6.32533878,0.387749161,0.554421917,6,97,18,12
scrambled_seq142_[chr1:205419051-205419221],5.726860113,0.454472225,0.613575701,6,99,18,12
scrambled_seq1422_[chr7:69808587-69808757],10.14208721,0.118794542,0.241948517,6,65,18,12
scrambled_seq1426_[chr7:73157351-73157521],4.566155298,0.600531248,0.733523726,6,98,18,12
scrambled_seq1431_[chr7:74042354-74042524],8.078993788,0.232372974,0.389180929,6,99,18,12
scrambled_seq1475_[chr7:129483482-129483652],15.4366338,0.017119431,0.05118537,6,99,18,12
scrambled_seq1481_[chr7:141130676-141130846],18.6527689,0.004792069,0.017392468,6,99,18,12
scrambled_seq1505_[chr8:72836323-72836493],1.918425027,0.927045981,0.955007925,6,84,18,12
scrambled_seq151_[chr1:224352596-224352766],11.23211537,0.081462131,0.182212524,6,68,18,12
scrambled_seq1515_[chr8:103918612-103918782],5.0329597,0.539592797,0.685164543,6,75,18,12
scrambled_seq1520_[chr8:120988917-120989087],9.310275313,0.156865602,0.29502505,6,98,18,12
scrambled_seq1529_[chr8:132986374-132986544],11.53878404,0.073085226,0.166267329,6,75,18,12
scrambled_seq1539_[chr9:14542265-14542435],8.27966215,0.218322161,0.37388214,6,99,18,12
scrambled_seq1541_[chr9:15138342-15138512],7.367308147,0.288209771,0.447430554,6,79,18,12
scrambled_seq1556_[chr9:71487184-71487354],16.3465467,0.012009965,0.038362767,6,85,18,12
scrambled_seq1565_[chr9:81053201-81053371],2.883409001,0.823331588,0.890521864,6,73,18,12
scrambled_seq1577_[chr9:98517200-98517370],6.015938784,0.421406978,0.58381684,6,99,18,12
scrambled_seq158_[chr1:233249268-233249438],7.246712309,0.298632904,0.459672668,6,75,18,12
scrambled_seq1581_[chr9:100290832-100291002],31.06560059,2.46E-05,0.000164437,6,98,18,12
scrambled_seq1585_[chr9:107900708-107900878],2.489023648,0.869694066,0.919619473,6,61,18,12
scrambled_seq1593_[chr9:129439154-129439324],9.467221104,0.148956433,0.284254969,6,99,18,12
scrambled_seq1598_[chr9:132319853-132320023],15.26962372,0.018260184,0.054050145,6,99,18,12
scrambled_seq1605_[chr9:137220398-137220568],9.239837433,0.160532271,0.299674497,6,95,18,12
scrambled_seq1608_[chr9:139694549-139694719],15.73643759,0.015240744,0.046507838,6,99,18,12
scrambled_seq1610_[chr9:140189912-140190082],9.269937499,0.158956412,0.298211184,6,41,18,12
scrambled_seq1628_[chr1:23697403-23697573],13.09250671,0.041590228,0.106568879,6,99,18,12
scrambled_seq1634_[chr1:43761250-43761420],9.325856994,0.156064379,0.293820145,6,78,18,12
scrambled_seq1646_[chr1:95057998-95058168],3.20951379,0.78212845,0.866357667,6,82,18,12
scrambled_seq1653_[chr1:204972716-204972886],3.879875286,0.692928568,0.801894746,6,77,18,12
scrambled_seq1656_[chr1:242099732-242099902],9.029966202,0.171899794,0.316914222,6,82,18,12
scrambled_seq1660_[chr10:49482892-49483062],5.647026304,0.463867641,0.622325091,6,97,18,12
scrambled_seq1675_[chr10:105564785-105564955],28.45762823,7.70E-05,0.000464288,6,97,18,12
scrambled_seq168_[chr1:244978973-244979143],1.864144248,0.931759436,0.958381134,6,84,18,12
scrambled_seq169_[chr10:2243990-2244160],0.3891756,0.998937997,0.998937997,6,80,18,12
scrambled_seq1732_[chr12:128823529-128823699],4.848618177,0.563370631,0.70405616,6,99,18,12
scrambled_seq1737_[chr13:36429898-36430068],9.458003178,0.149411164,0.28473629,6,83,18,12
scrambled_seq1738_[chr13:47064324-47064494],10.61917635,0.100883784,0.214831654,6,77,18,12
scrambled_seq1746_[chr13:107181531-107181701],13.95450559,0.030148511,0.082663025,6,91,18,12
scrambled_seq1751_[chr14:63401437-63401607],5.581110412,0.471708122,0.628180836,6,77,18,12
scrambled_seq1754_[chr14:66423693-66423863],1.666249453,0.947697013,0.966974166,6,87,18,12
scrambled_seq1778_[chr15:60410922-60411092],4.455914424,0.61522712,0.746353299,6,83,18,12
scrambled_seq1782_[chr15:70615448-70615618],3.961270211,0.681917759,0.795136082,6,88,18,12
scrambled_seq1788_[chr15:97289974-97290144],2.798027573,0.833736021,0.896678547,6,73,18,12
scrambled_seq1791_[chr16:10102105-10102275],16.48887291,0.011357167,0.036540449,6,80,18,12
scrambled_seq1793_[chr16:51704602-51704772],4.026728422,0.673059171,0.789533083,6,88,18,12
scrambled_seq1800_[chr16:54624854-54625024],6.954322833,0.32509208,0.488477967,6,91,18,12
scrambled_seq1818_[chr17:33026307-33026477],3.940316394,0.68475311,0.796934157,6,72,18,12
scrambled_seq1830_[chr18:10332550-10332720],8.718749414,0.190024135,0.339065168,6,86,18,12
scrambled_seq1844_[chr2:8393569-8393739],17.01166975,0.009240452,0.030503796,6,96,18,12
scrambled_seq1854_[chr2:66725562-66725732],2.54564744,0.863324418,0.91646675,6,84,18,12
scrambled_seq1857_[chr2:80380435-80380605],1.255386056,0.974060697,0.983288252,6,73,18,12
scrambled_seq1869_[chr2:208678038-208678208],22.04874254,0.001186491,0.005294494,6,99,18,12
scrambled_seq1876_[chr2:222314148-222314318],2.448913767,0.874140646,0.921531729,6,80,18,12
scrambled_seq188_[chr10:55118822-55118992],6.806030486,0.339158616,0.50391442,6,85,18,12
scrambled_seq1909_[chr22:21325480-21325650],4.147168084,0.656768204,0.779751881,6,85,18,12
scrambled_seq1914_[chr22:27898396-27898566],8.594338301,0.197710065,0.348614809,6,82,18,12
scrambled_seq1945_[chr4:10537716-10537886],8.951549432,0.176321289,0.320821736,6,86,18,12
scrambled_seq1951_[chr4:113982113-113982283],5.832372046,0.442227625,0.602801347,6,85,18,12
scrambled_seq1976_[chr5:146712246-146712416],12.83555928,0.045722883,0.114646113,6,86,18,12
scrambled_seq198_[chr10:74516842-74517012],2.800754731,0.833406535,0.896678547,6,70,18,12
scrambled_seq1981_[chr6:18748530-18748700],10.36778428,0.109994008,0.230183848,6,77,18,12
