,T00h,T03h,T06h,T12h,T24h,T48h,T72h
controls_seq118_[chr4:58727439-58727609],1.697205721,1.584280929,1.813994123,1.503051585,1.588493958,1.378147261,1.407114007
controls_seq119_[chr5:35831522-35831692],1.561961673,1.497579021,1.684097989,1.495140822,1.425098299,1.323932693,1.535886269
controls_seq12_[chr11:8228532-8228702],1.56735505,1.649818753,1.826454081,1.580164918,1.424064658,1.339465456,1.123202753
controls_seq120_[chr5:148012370-148012540],1.638027351,1.579426007,2.007606033,1.617768842,1.361257327,1.41964225,1.244733912
controls_seq121_[chr6:102928351-102928521],1.640255935,1.5970974,1.733736618,1.818541751,1.409672912,1.468064519,1.194660197
controls_seq122_[chr6:105746721-105746891],1.586273012,1.556285138,1.835442339,1.533338455,1.451123148,1.273665734,1.267894195
controls_seq123_[chr6:133693323-133693493],1.692990578,1.461788224,1.714068416,1.432311482,1.4724038,1.475052862,1.378166441
controls_seq124_[chr6:145149034-145149204],1.801469162,1.520969739,1.84703043,1.550295242,1.465505343,1.462319876,1.512115343
controls_seq125_[chr7:8427199-8427369],1.668543608,1.399183158,1.657137275,1.708801137,1.553956756,1.768100839,1.514659752
controls_seq126_[chr7:38093413-38093583],1.512872496,1.611713141,1.712694768,1.526908274,1.432127624,1.310969374,1.413239455
controls_seq127_[chr8:14277683-14277853],1.403251042,1.504107858,1.489685347,1.6153748,1.645647011,1.149922086,1.62576615
controls_seq128_[chr8:124244288-124244458],1.722621757,1.756326859,2.036380975,1.707828397,1.632450046,1.429262349,1.32571515
controls_seq129_[chr9:93674552-93674722],1.613019934,1.666434703,1.812631437,1.664250503,1.460435963,1.260945669,1.275753126
controls_seq13_[chr11:16424668-16424838],2.378017321,2.627058125,3.580391594,3.429845455,3.294555546,3.054226563,2.189158092
controls_seq130_[chr10:20980634-20980804],1.465693122,1.42400491,1.601500584,1.326962832,1.260788311,1.326369092,1.560871572
controls_seq131_[chr12:85445766-85445936],1.70011783,1.67850209,1.861042268,1.632328081,1.612261924,1.463588248,1.527646449
controls_seq132_[chr14:37220588-37220758],1.457412757,1.364110443,1.52710542,1.528812358,1.545407749,1.484492785,1.354502601
controls_seq133_[chr15:65503508-65503678],1.63354407,1.719310607,1.90702471,1.710288718,1.515769265,1.373478711,1.284863276
controls_seq134_[chr17:65009300-65009470],1.651819612,1.593470396,1.836642482,1.614849337,1.445072391,1.406036845,1.349411663
controls_seq135_[chr17:70708893-70709063],1.814295515,1.578847172,1.67036748,1.509594671,1.672773874,1.295437871,1.197051773
controls_seq136_[chr18:42444601-42444771],1.72089162,1.776570888,1.929146191,1.616841374,1.568745174,1.423640253,1.232303623
controls_seq137_[chr19:37958270-37958440],2.919770685,3.064376249,3.13801293,3.196324078,3.36374894,3.427207231,2.787213464
controls_seq138_[chr19:38887917-38888087],1.578589062,1.624277417,1.913942584,1.631522284,1.402885823,1.381016935,1.147266884
controls_seq139_[chr20:57414490-57414660],1.661753274,1.644816083,1.759106343,1.618248645,1.411656051,1.382415635,1.191590688
controls_seq14_[chr11:31623505-31623675],1.704952224,1.678852549,1.918704764,1.668314064,1.639349259,1.62323244,1.409157577
controls_seq140_[chr22:50861536-50861706],1.655342445,1.743472296,1.81062662,1.620798537,1.488582374,1.481415896,1.260785524
controls_seq141_[chrX:15844658-15844828],1.759158864,1.689355916,1.996866196,1.785556328,1.63415042,1.471838919,1.601713439
controls_seq142_[chrX:36308908-36309078],1.549554583,1.578385705,1.704227652,1.591208012,1.422728429,1.383452634,1.199460039
controls_seq143_[chrX:129251664-129251834],1.525613136,1.459660892,1.720624637,1.596048184,1.461302585,1.493677576,1.294182165
controls_seq144_[chr9:110184579-110184749],1.748144086,1.752685506,1.978960946,1.823806301,1.597845399,1.498514042,1.344714906
controls_seq145_[chr9:110187482-110187652],1.616949305,1.539873678,1.788650201,1.547097772,1.353746236,1.303979459,1.26278177
controls_seq146_[chr9:110200748-110200918],2.869067965,2.877169694,3.066428035,2.947282063,3.309539977,3.424353361,2.242285902
controls_seq147_[chr9:110227934-110228104],2.31380072,2.413381015,2.569609684,2.367295833,2.344638805,2.178009754,1.759044219
controls_seq148_[chr9:110235258-110235428],1.765660848,2.038423031,1.972579042,2.104086258,1.942394818,2.168691801,1.605726404
controls_seq149_[chr9:110302072-110302242],2.25132261,2.533038634,2.765058858,2.603739971,2.656114542,2.393555696,1.845646897
controls_seq15_[chr11:65255113-65255283],5.733485037,6.179491596,7.08151553,6.385054028,7.905779437,9.142488103,8.078446032
controls_seq150_[chr9:110399959-110400129],1.801544985,1.800983925,2.018577178,1.77182174,1.59164498,1.517090483,1.317073157
controls_seq151_[chr9:110429529-110429699],1.564937269,1.721319298,1.887981682,1.651573192,1.574516723,1.508767936,1.314921587
controls_seq152_[chr9:110436861-110437031],1.614228885,1.496018252,1.686555438,1.467348716,1.367298844,1.372192202,1.202608504
controls_seq153_[chr9:110512104-110512274],5.717144552,6.817641985,7.717493517,7.057503041,7.673828221,7.693029335,6.286409197
controls_seq154_[chr9:110634967-110635137],1.788419688,1.741280078,1.92228827,1.822844199,1.596546792,1.517752157,1.480886474
controls_seq155_[chr9:110814847-110815017],1.832982234,1.851545012,2.008757382,1.689086353,1.864556558,1.715166462,1.720370037
controls_seq156_[chr9:110845685-110845855],1.612047726,1.612245303,1.855905035,1.682267304,1.552385072,1.489635573,1.48378294
controls_seq157_[chr9:110857575-110857745],1.535755012,1.420495746,1.779996178,1.532888645,1.630227073,1.238000936,1.144609603
controls_seq158_[chr9:110857818-110857988],1.657811175,1.602918053,1.922943907,1.476858214,1.319195654,1.238754202,1.186120378
controls_seq159_[chr9:110868339-110868509],1.772368298,1.767984198,2.002193026,1.751288133,1.617430967,1.492177618,1.317489109
controls_seq16_[chr11:110001491-110001661],1.600240444,1.597043439,1.866737902,1.501704521,1.419394121,1.421854951,1.202432158
controls_seq160_[chr9:110904939-110905109],1.642017639,1.552059786,1.902027639,1.560404733,1.464388263,1.393999142,1.286934412
controls_seq161_[chr8:128658425-128658595],2.285712941,2.336112506,2.468694335,2.235699907,2.258088548,2.194814942,1.954207664
controls_seq162_[chr8:128822479-128822649],3.691278058,3.934047522,5.455958282,5.78699472,5.658454694,5.028079139,3.993538135
controls_seq163_[chr8:128830575-128830745],1.744191696,1.63479086,1.9224209,1.780007964,1.615454292,1.578655809,1.458730532
controls_seq164_[chr8:128835384-128835554],2.669177282,2.69780946,2.755506412,2.567998651,2.423053491,2.269241654,1.699296995
controls_seq165_[chr8:128011024-128011194],1.721861821,1.753297299,1.847743729,1.858472847,1.908824776,1.886317733,1.601977083
controls_seq166_[chr8:128056092-128056262],1.749789966,1.687902021,1.923212691,1.578812499,1.642150463,1.584277569,1.427687887
controls_seq167_[chr8:128219359-128219529],1.702173214,1.872249001,2.006639774,1.66071151,1.610150676,1.569479059,1.318900181
controls_seq168_[chr8:128264412-128264582],1.93826502,1.940491481,2.2149998,2.136304964,1.913087372,1.952635652,1.602820024
controls_seq169_[chr8:128284888-128285058],2.180672023,2.033141281,2.297481911,1.974082877,2.147674663,2.040294177,1.528358376
controls_seq17_[chr12:17173796-17173966],1.348872273,1.553772948,1.733618135,1.595418016,1.431027382,1.455704795,1.36121823
controls_seq170_[chr8:128413025-128413195],1.48404594,1.518678153,1.727966877,1.545202682,1.880065183,1.319406509,1.80829482
controls_seq171_[chr6:30646854-30647024],1.916792269,1.984391614,2.218735273,1.942868132,1.942168778,1.746959783,1.495772836
controls_seq172_[chr6:30796445-30796615],1.543119906,1.504778914,1.942563608,1.596531126,1.393420105,1.262419253,1.368049898
controls_seq173_[chr6:31025872-31026042],1.642667078,1.673969176,1.7960995,1.658814608,1.51205565,1.344409841,1.265040622
controls_seq174_[chr6:31126527-31126697],1.683287599,1.625547279,1.973619988,1.647433445,1.447365622,1.356676287,1.242358693
controls_seq175_[chr6:31138412-31138582],1.999812973,2.006309044,2.296672983,2.042403482,1.951902498,1.659780915,1.451620663
controls_seq176_[chr6:31139636-31139806],1.714435185,1.664805667,1.948141182,1.655194833,1.512410072,1.352233272,1.161391534
controls_seq177_[chr6:31140805-31140975],2.417223142,2.39256266,2.450119919,2.197605621,2.004192835,1.932549556,1.582963199
controls_seq178_[chr12:7941826-7941996],1.779947861,1.906985835,1.94142785,1.679608342,1.75851367,1.501605606,1.293616063
controls_seq179_[chr12:7940245-7940415],1.79715233,1.796056799,2.02057833,1.75154554,1.50536683,1.487791184,1.286544891
controls_seq18_[chr12:114101974-114102144],1.793713087,1.615399366,1.690982599,1.638468299,1.547374465,1.662954727,1.751685889
controls_seq180_[chr9:110252111-110252281],1.735726988,1.816948246,2.074850942,1.90204885,2.060921885,1.819537748,1.800891346
controls_seq181_[chr8:128746291-128746461],2.167693461,2.247870568,2.470162133,2.267128206,2.217214159,1.955963646,1.634625659
controls_seq182_[chr8:128748377-128748547],2.192871764,2.150145021,2.299538857,2.147833225,2.048212438,1.915037163,1.5685979
controls_seq183_[chr8:128806604-128806774],1.702853065,1.634826408,2.042522487,1.775361657,2.109640382,1.673983097,1.633112032
controls_seq184_[chr12:7940297-7940467],1.846972837,1.957525256,2.104882563,1.835798211,1.778514427,1.588146868,1.377169995
controls_seq185_[chr11:31832761-31832931],1.633059411,1.732667397,1.903711256,1.958174079,1.749047257,1.535273684,1.334436322
controls_seq186_[chrctrl5:1-171],1.600250658,1.488036284,1.718430539,1.643443283,1.422994195,1.296410793,1.267133149
controls_seq187_[chr2:133346944-133347114],1.647830921,1.558531523,1.842716465,1.77047835,1.522696044,1.437119359,1.334293637
controls_seq188_[chrX:137793421-137793591],1.657831569,1.68085261,1.894935211,1.612484021,1.518251568,1.406340834,1.289630198
controls_seq189_[chrX:137793421-137793591],1.677976352,1.677575973,1.927368261,1.616379838,1.545737372,1.457763794,1.350818889
controls_seq19_[chr13:28319106-28319276],2.866099252,3.023951544,3.162871432,2.827903354,2.800913545,2.291899343,1.776229491
controls_seq190_[chrX:137793434-137793604],1.626715948,1.58344052,1.845530379,1.530224564,1.411046373,1.465955729,1.237269943
controls_seq191_[chr21:17828743-17828913],1.807770266,1.727938827,1.834415756,1.648136143,1.51086928,1.457755193,1.348299083
controls_seq192_[chrN2pos:1-171],1.78556602,1.803772085,1.635219201,1.679472967,1.521654746,1.533682502,1.465215457
controls_seq193_[chrctrl42:1-171],1.573300516,1.620719548,1.774841832,1.53004195,1.518053171,1.246684117,1.34538354
controls_seq194_[chrN2neg:1-171],1.510533744,1.491625829,1.808427513,1.438464377,1.536270852,1.235963678,1.345491302
controls_seq2_[chr1:51165930-51166100],1.718163576,1.747351933,1.949424764,1.717948686,1.564195929,1.520451297,1.461667829
controls_seq20_[chr13:43167332-43167502],1.538204079,1.556619702,1.693499742,1.517212428,1.260026695,1.224506713,1.225941982
controls_seq21_[chr13:43167713-43167883],2.418447919,2.370394928,2.331442011,2.493744761,2.487991069,1.815241969,1.50442674
controls_seq22_[chr13:72334077-72334247],1.728820166,1.944102688,2.106753151,1.754642494,1.681356094,1.678906543,1.554293584
controls_seq23_[chr13:95358951-95359121],1.831629396,1.885807616,1.992357958,1.88941842,1.682465138,1.655807107,1.379914209
controls_seq24_[chr14:29859574-29859744],1.474046398,1.448732957,1.774746968,1.429218515,1.393842652,1.66192088,1.451503044
controls_seq25_[chr14:36912020-36912190],1.47232401,1.345541165,1.587062831,1.690855812,1.430052447,1.694173507,1.392527039
controls_seq26_[chr14:36974105-36974275],1.70622794,1.707021646,1.814505337,1.58727325,1.612339651,1.403582903,1.418290085
controls_seq27_[chr14:57322888-57323058],2.634790014,2.68625274,2.903046606,2.670164353,2.666713792,2.582446777,2.250173648
controls_seq28_[chr15:31598909-31599079],2.087561215,2.148209106,2.264495441,1.966182136,2.03556683,1.846374635,1.5256423
controls_seq29_[chr15:40384290-40384460],1.486932101,1.692159268,1.787548452,1.632701298,1.565715366,1.443966664,1.377555306
controls_seq3_[chr1:62054477-62054647],1.52593628,1.739421327,2.040194297,1.545811698,1.527955592,1.643596104,1.580635169
controls_seq30_[chr16:49736165-49736335],1.713377667,1.742307103,1.948938834,1.600753483,1.538465436,1.428141454,1.316097796
controls_seq31_[chr16:51671103-51671273],2.462394497,2.579210366,2.563716341,2.375068997,2.557968323,1.785126483,1.787067532
controls_seq32_[chr16:61058257-61058427],1.670641393,1.621586368,1.690333676,1.515867147,1.455273412,1.338407616,1.19332011
controls_seq33_[chr17:32078040-32078210],1.833997806,1.735304569,1.911194505,1.717837543,1.599790263,1.522958375,1.437317081
controls_seq34_[chr18:23045537-23045707],1.547677731,1.619391169,1.794804224,1.63552061,1.363360133,1.404923872,1.369392377
controls_seq35_[chr18:42324276-42324446],1.663849622,1.691677603,1.86887196,1.562879329,1.485233475,1.386336804,1.231377007
controls_seq36_[chr18:49573352-49573522],1.677302943,1.662777782,1.729306239,1.653720544,1.846563468,1.322170438,1.393306791
controls_seq37_[chr18:53019259-53019429],1.792281654,1.870889339,1.9717688,1.545150212,1.747571346,1.503255166,1.162424039
controls_seq38_[chr2:5550046-5550216],1.61898286,1.581910777,1.72512211,1.584532267,1.528712388,1.316865235,1.249914215
controls_seq39_[chr2:8782592-8782762],1.865642434,1.793721288,2.007622571,1.632235021,1.744668165,1.706113373,1.302768522
controls_seq4_[chr1:91307093-91307263],1.56247751,1.550756395,1.796208148,1.567331191,1.351307089,1.384127856,1.282751972
controls_seq40_[chr2:60353097-60353267],1.623174652,1.533619847,1.827375147,1.506759558,1.436165098,1.294431713,1.24863233
controls_seq41_[chr2:66764265-66764435],1.666574829,1.75054762,1.883973601,1.591335246,1.508943044,1.532160344,1.244468787
controls_seq42_[chr2:103909720-103909890],1.902988113,1.718812161,2.024606025,1.76533935,1.521704808,1.505575202,1.342431408
controls_seq43_[chr2:121832868-121833038],1.536202785,1.595987845,1.717571043,1.545891773,1.352777087,1.385336588,1.0846523
controls_seq44_[chr2:151184378-151184548],2.110009703,2.027690711,2.205703653,1.856226034,2.011849928,1.86734249,2.053107375
controls_seq46_[chr2:174989094-174989264],1.632252455,1.658483426,1.689529453,1.499469665,1.681514952,1.678196813,1.301537806
controls_seq47_[chr20:21216291-21216461],1.689137503,1.694105692,1.855294715,1.665502871,1.393780487,1.340699386,1.252527218
controls_seq48_[chr20:30192029-30192199],1.765658196,1.777862661,1.951774197,1.683565363,1.481985018,1.361719527,1.228836387
controls_seq49_[chr21:34291162-34291332],1.559900374,1.673381845,1.757556629,1.652482389,1.506247965,1.275412863,1.209387313
controls_seq5_[chr1:167297662-167297832],1.534362095,1.532832347,1.74180573,1.620529313,1.484936697,1.313612684,1.21649589
controls_seq50_[chr22:46241068-46241238],1.699080041,1.570283824,1.956162277,1.678292923,1.450508341,1.534628413,1.392814428
controls_seq51_[chr3:28034635-28034805],1.595066134,1.485746435,1.624791029,1.537241988,1.386306242,1.397126718,1.386816872
controls_seq52_[chr3:62351383-62351553],1.764421123,1.593117219,1.820945724,1.745009823,1.502653819,1.559695767,1.244412627
controls_seq53_[chr3:112813463-112813633],1.648635582,1.477411736,1.850530696,1.565616093,1.414719146,1.350168058,1.335905858
controls_seq54_[chr3:147564868-147565038],1.592459376,1.65925275,1.673172888,1.593694174,1.442878331,1.316055166,1.178083666
controls_seq55_[chr3:147652769-147652939],1.81274665,1.906606394,1.976206975,1.695850322,1.666684487,1.49902707,1.305063564
controls_seq56_[chr3:193490302-193490472],1.676974671,1.692451313,1.927598086,1.657313877,1.512222669,1.409778064,1.294658868
controls_seq57_[chr3:193930097-193930267],1.784903784,1.586568845,1.830756273,1.622807761,1.505887803,1.34953212,1.334430266
controls_seq58_[chr3:193930685-193930855],1.642165269,1.662750753,1.882234811,1.621501445,1.514864681,1.530213708,1.204422218
controls_seq59_[chr4:54881970-54882140],1.786995083,1.715628468,1.803487459,1.532958512,1.438654876,1.37097553,1.360327219
controls_seq6_[chr1:204424333-204424503],2.066014023,1.991630994,2.192822889,2.028411396,2.031884014,1.890294482,1.564914411
controls_seq60_[chr4:109256362-109256532],1.555912778,1.626531473,1.879468566,1.617591596,1.416943071,1.388520215,1.29502483
controls_seq61_[chr4:113442800-113442970],1.786597032,1.766139543,2.034671805,1.57556006,1.371040594,1.409622821,1.170609226
controls_seq62_[chr5:2208187-2208357],1.751315447,1.827244555,2.049854074,1.741962504,1.654342568,1.542289819,1.351206891
controls_seq63_[chr5:50391415-50391585],1.674139588,1.805740009,1.764427471,1.791282829,1.62134631,1.466746267,1.266216521
controls_seq64_[chr5:50468812-50468982],2.060966521,2.267798446,2.403889652,2.033905916,1.868244192,1.995824348,1.468828632
controls_seq65_[chr5:77143852-77144022],1.469057788,1.501322208,1.747052088,1.601420444,1.460377551,1.237835019,1.162995454
controls_seq66_[chr5:87083609-87083779],1.505318879,1.477131889,1.815579838,1.777936564,1.42137883,1.320241931,1.284177613
controls_seq67_[chr5:87240473-87240643],1.769927619,1.770511915,1.924830396,1.847332558,1.847970582,1.628700203,1.646392018
controls_seq68_[chr5:91929830-91930000],1.649342731,1.538324344,1.946373267,1.515410844,1.503327793,1.417536311,1.403625345
controls_seq69_[chr5:92635745-92635915],1.375121553,1.548293093,1.651219243,1.404190844,1.305543295,1.313446559,1.118101028
controls_seq7_[chr10:79937401-79937571],1.72576158,1.709803132,1.963516436,1.761364142,1.509856763,1.521739313,1.255172343
controls_seq70_[chr5:124709070-124709240],1.650940812,1.879651304,1.833647287,1.636907883,1.419308879,1.63484617,1.54291062
controls_seq71_[chr6:3351325-3351495],1.736635543,1.742300353,1.859950436,1.648780636,1.646796227,1.322985197,1.198369659
controls_seq72_[chr6:9096186-9096356],1.794381906,1.71490568,1.96533308,1.777973486,1.63181978,1.530342287,1.357396338
controls_seq73_[chr6:19720029-19720199],1.653483446,1.677076019,1.886456806,1.674363634,1.407503262,1.313131246,1.233495269
controls_seq74_[chr6:20868943-20869113],1.779486207,1.66943862,1.818172605,1.656151451,1.666603537,1.66407165,1.384640741
controls_seq75_[chr6:23180868-23181038],1.696741655,1.580351648,1.819094784,1.50558196,1.526145543,1.420430221,1.121556881
controls_seq76_[chr6:23181104-23181274],2.081929489,1.891768788,2.173215062,1.767991312,1.86425301,1.481504248,1.579197892
controls_seq77_[chr6:99090064-99090234],1.771520221,1.623220507,1.723320974,1.518263854,1.414541651,1.370691129,1.265927084
controls_seq78_[chr6:111873660-111873830],1.672838958,1.801867043,2.116593849,1.999465055,1.762211899,1.722715698,1.764147802
controls_seq79_[chr6:112824500-112824670],1.543321471,1.458401328,1.846245933,1.470499984,1.424483887,1.293687487,1.404347457
controls_seq8_[chr10:102245394-102245564],1.532593653,1.643053168,1.580122531,1.545470088,1.438699922,1.205422985,1.072777675
controls_seq80_[chr6:140209850-140210020],1.848608271,1.960869458,2.206165942,1.786435124,1.86414441,1.702427418,1.695835864
controls_seq81_[chr6:163277965-163278135],2.107168207,2.263079703,2.548835608,2.468529626,2.396084171,2.369880836,2.095397522
controls_seq82_[chr6:170747637-170747807],1.731331047,1.746794304,1.88543113,1.720631244,1.736929334,1.619602201,1.516352279
controls_seq83_[chr7:9271437-9271607],1.488074994,1.488039897,1.555009888,1.421847467,1.443521297,1.280081725,1.133397258
controls_seq84_[chr7:20832972-20833142],1.579376449,1.620868335,1.850568828,1.595793446,1.470795769,1.367346826,1.202482852
controls_seq85_[chr7:21081379-21081549],1.570112137,1.75753974,1.770784873,1.549347016,1.521906499,1.455795788,1.359467071
controls_seq86_[chr7:25792750-25792920],1.569812821,1.608765868,1.818114198,1.700680024,1.548788522,1.532095413,1.381292515
controls_seq87_[chr7:115452930-115453100],1.472502415,1.621841029,1.69039933,1.57536441,1.45090608,1.471794194,1.762064389
controls_seq88_[chr7:121969307-121969477],1.68718174,1.663420083,1.838461192,1.621017701,1.472308516,1.324283017,1.269471455
controls_seq89_[chr8:28371432-28371602],2.119045769,2.174090114,2.36918255,2.232831894,2.06691634,2.072174779,1.900528697
controls_seq9_[chr10:118854514-118854684],1.717072816,1.641478728,1.692318692,1.75581523,1.603331188,1.616730336,1.775131447
controls_seq90_[chr8:36957782-36957952],1.928350142,1.992232091,2.178673567,1.940685456,1.879017087,1.85522823,1.495033051
controls_seq91_[chr8:53167568-53167738],1.571003234,1.683673479,1.7677493,1.557602091,1.490729198,1.441526611,1.174039574
controls_seq92_[chr8:129988026-129988196],1.60438578,1.674443523,1.880522533,1.594858754,1.438684056,1.344957598,1.25740017
controls_seq93_[chr9:974108-974278],1.597618431,1.613676958,1.831098461,1.57276725,1.425185836,1.381984603,1.17091105
controls_seq94_[chr9:2241592-2241762],1.665656302,1.688610034,1.818433991,1.640570645,1.5805142,1.458291599,1.192780322
controls_seq95_[chr9:81053192-81053362],1.534830662,1.419257303,1.53006778,1.516369558,1.540531152,1.32716714,1.525746209
controls_seq96_[chr9:81054570-81054740],1.623623266,1.521605151,1.777979644,1.531887742,1.572706791,1.475546963,1.389951095
controls_seq97_[chr9:81055199-81055369],2.05239809,2.044798428,2.272391465,1.945809497,1.901937386,1.855620459,1.528211782
controls_seq98_[chr9:82226038-82226208],1.494698865,1.456579397,1.83744811,1.393171826,1.360821934,1.298537884,1.175071426
controls_seq99_[chr9:82277708-82277878],1.51985738,1.340642069,1.62427355,1.603881395,1.521788585,1.713390716,1.77659733
scrambled_seq1007_[chr21:28742520-28742690],1.32619906,1.361128131,1.501595962,1.225542921,1.437376596,1.421265413,1.243293282
scrambled_seq1015_[chr21:41079421-41079591],1.590305854,1.632530995,1.801225764,1.566319811,1.571169761,1.313727356,1.484818368
scrambled_seq1023_[chr22:24298842-24299012],1.490861398,1.573471303,1.642478797,1.452286014,1.40784158,1.320001159,1.145217202
scrambled_seq1024_[chr22:25087330-25087500],1.55665084,1.578879452,1.76244725,1.4804035,1.404631411,1.339220837,1.223510727
scrambled_seq1025_[chr22:27754650-27754820],1.5567314,1.623535755,1.805283492,1.62595686,1.456336963,1.391388801,1.275423043
scrambled_seq104_[chr1:150613939-150614109],1.489219467,1.461588322,1.587575126,1.427235344,1.383778674,1.385902489,1.204851763
scrambled_seq1059_[chr3:30591181-30591351],1.463763751,1.55473707,1.634143416,1.670046112,1.495097873,1.282041136,1.233321316
scrambled_seq1065_[chr3:47932191-47932361],1.557882997,1.476085307,1.758877248,1.598181856,1.362962094,1.594603878,1.345855788
scrambled_seq1081_[chr3:75303889-75304059],1.5553986,1.612042655,1.772810212,1.574651769,1.324801504,1.354033853,1.300136288
scrambled_seq1085_[chr3:84886290-84886460],1.654886885,1.653382439,1.919191661,1.63730947,1.344029351,1.540831485,1.200800013
scrambled_seq1086_[chr3:106549299-106549469],1.504865189,1.652658801,1.769670407,1.454054704,1.404739404,1.400651443,1.222859175
scrambled_seq1111_[chr3:173950555-173950725],1.678670434,1.504936727,1.834786629,1.441584553,1.487212138,1.267142282,1.280867677
scrambled_seq1115_[chr3:184321941-184322111],1.534885471,1.491948724,1.709414985,1.5728341,1.423689102,1.320705426,1.196876828
scrambled_seq1126_[chr3:193693069-193693239],1.627838824,1.44351228,1.701340935,1.519150918,1.325512468,1.369966237,1.390729971
scrambled_seq1157_[chr4:79473653-79473823],1.523087922,1.54314605,1.573699293,1.504578122,1.371881129,1.391303415,1.258822984
scrambled_seq1166_[chr4:105413755-105413925],1.59964416,1.521551542,1.777675457,1.535084148,1.374919616,1.363418065,1.152188585
scrambled_seq1171_[chr4:114213714-114213884],1.619445097,1.641617163,1.848371434,1.611287938,1.473817342,1.416510889,1.21681396
scrambled_seq1178_[chr4:129723993-129724163],1.599138773,1.614441065,1.875294673,1.553482286,1.547815151,1.369071413,1.303541908
scrambled_seq1198_[chr4:185537876-185538046],1.603018758,1.721997086,1.85779684,1.458934558,1.487649315,1.390058368,1.226753475
scrambled_seq1201_[chr4:186239987-186240157],1.524696851,1.513941812,1.665538084,1.531422274,1.389582144,1.458214536,1.511792511
scrambled_seq1235_[chr5:59005280-59005450],1.521499261,1.503333245,1.545545638,1.355022724,1.583246159,1.487659509,1.359275567
scrambled_seq1241_[chr5:75820062-75820232],1.71654002,1.476117227,1.726366497,1.615116967,1.372346193,1.374484198,1.43568394
scrambled_seq1258_[chr5:116095916-116096086],1.644921295,1.707523795,1.741475959,1.545573319,1.774304757,1.330319413,1.26180808
scrambled_seq1267_[chr5:133875683-133875853],1.579273373,1.541594052,1.813765397,1.516098841,1.374494913,1.337260707,1.163739064
scrambled_seq128_[chr1:183372794-183372964],1.751024773,1.748176982,1.774546147,1.654778702,1.591518332,1.242651805,1.416818776
scrambled_seq1283_[chr5:150767685-150767855],1.441494622,1.383345184,1.579806451,1.479964177,1.48183252,1.278539292,1.240299749
scrambled_seq1293_[chr5:172983462-172983632],1.572242821,1.246162916,1.71397623,1.574746761,1.458606855,1.431157744,1.209987693
scrambled_seq1296_[chr5:174988244-174988414],1.593160382,1.602054962,1.634522665,1.487288084,1.451131209,1.387941006,1.266918735
scrambled_seq130_[chr1:185881815-185881985],1.65351932,1.565364176,1.704328274,1.537481501,1.393912041,1.484563949,1.290296229
scrambled_seq1313_[chr6:19312146-19312316],1.574221134,1.456115459,1.713938519,1.497750879,1.529077356,1.378933876,1.385489008
